comprehension_label,stem,suffix,image1,image2,stem_condition,image3,image4,image1_label,image2_label,image3_label,image4_label,demo_info.thisRepN,demo_info.thisTrialN,demo_info.thisN,demo_info.thisIndex,pretraining_plus_test.thisRepN,pretraining_plus_test.thisTrialN,pretraining_plus_test.thisN,pretraining_plus_test.thisIndex,which_condition.thisRepN,which_condition.thisTrialN,which_condition.thisN,which_condition.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,production_block.thisRepN,production_block.thisTrialN,production_block.thisN,production_block.thisIndex,forced_choice_block.thisRepN,forced_choice_block.thisTrialN,forced_choice_block.thisN,forced_choice_block.thisIndex,comprehension_loop.thisRepN,comprehension_loop.thisTrialN,comprehension_loop.thisN,comprehension_loop.thisIndex,thisRow.t,notes,pretraining,condition,randomizer.started,randomizer.stopped,begin_exp.started,begin_text.started,key_resp_11.started,begin_exp.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,consent.started,consent_image.started,text_10.started,consent_resp.started,consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,consent2.started,consent_image_2.started,text_39.started,consent_resp_2.started,consent2.stopped,consent_resp_2.keys,consent_resp_2.rt,consent_resp_2.duration,consent3.started,consent_image_3.started,text_40.started,consent_resp_3.started,consent3.stopped,consent_resp_3.keys,consent_resp_3.rt,consent_resp_3.duration,consent4.started,consent_image_4.started,text_42.started,consent_resp_4.started,consent4.stopped,consent_resp_4.keys,consent_resp_4.rt,consent_resp_4.duration,consent5.started,consent_image_5.started,text_43.started,consent_resp_5.started,consent5.stopped,consent_resp_5.keys,consent_resp_5.rt,consent_resp_5.duration,consent6.started,consent_image_6.started,text_49.started,consent_resp_6.started,consent6.stopped,consent_resp_6.keys,consent_resp_6.rt,consent_resp_6.duration,demographic_questions.started,demographic_instr.started,text_9.started,key_resp_3.started,demographic_questions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,demo_age.started,age_text.started,textbox.started,key_resp_5.started,text_3.started,demo_age.stopped,textbox.text,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,demo_native_lang.started,age_text_5.started,textbox_5.started,key_resp_9.started,text_7.started,demo_native_lang.stopped,textbox_5.text,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,demo_other_langs.started,age_text_6.started,textbox_6.started,key_resp_10.started,text_8.started,demo_other_langs.stopped,textbox_6.text,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,instructions.started,instructions_text.started,key_resp_4.started,text_31.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,begin_experiment.started,experiment_start.started,experiment_start_resp.started,text_32.started,begin_experiment.stopped,experiment_start_resp.keys,experiment_start_resp.rt,experiment_start_resp.duration,training_intro.started,text_36.started,text_37.started,key_resp_26.started,training_intro.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.duration,prod_instr.started,instr.started,key_resp_14.started,text_34.started,prod_instr.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,prod_inst_2.started,instr_2.started,key_resp_27.started,text_44.started,prod_inst_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.duration,comp_inst.started,text_13.started,key_resp_17.started,text_35.started,comp_inst.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.duration,comp_instructions_cont.started,text_41.started,key_resp_19.started,comp_instructions_cont.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.duration,comprehension_instructions.started,text_52.started,key_resp_33.started,comprehension_instructions.stopped,key_resp_33.keys,key_resp_33.rt,key_resp_33.duration,comprehension_flash.started,prod_image1_4.started,production_text.started,production_text.stopped,comprehension_flash.stopped,comprehension_four_images.started,text_51.started,prod_image1_5.started,prod_image2_3.started,alt_image1_3.started,alt_image2_3.started,mouse.started,comprehension_four_images.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,blank_trial.started,text_25.started,blank_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3,0.01323519996367395,0.014642399968579412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.03853039990644902,,,,,,0.016682999907061458,0.03853039990644902,0.03853039990644902,5.825815199990757,space,5.755553600029089,None,5.826993399998173,5.864477499970235,5.864477499970235,5.864477499970235,6.324769699946046,space,0.44599059992469847,None,6.325328999897465,6.340555900009349,6.340555900009349,6.340555900009349,6.558485299930908,space,0.20539520005695522,None,6.5589382000034675,6.575065899989568,6.575065899989568,6.575065899989568,6.841363599989563,space,0.2592375000240281,None,6.841758199967444,6.8570982000092044,6.8570982000092044,6.8570982000092044,7.108038599952124,space,0.24255209998227656,None,7.108450099942274,7.123527599964291,7.123527599964291,7.123527599964291,7.357745999936014,space,0.22266189998481423,None,7.358150999993086,7.373281099949963,7.373281099949963,7.373281099949963,7.607586600002833,space,0.2215129000833258,None,7.608001499902457,7.632976899971254,7.632976899971254,7.632976899971254,7.841200199909508,space,0.19983129994943738,None,7.841610600007698,7.857728299917653,7.857728299917653,7.857728299917653,7.857728299917653,8.407681099954061," 
",return,0.5341177999507636,None,8.408169799949974,8.423181099933572,8.423181099933572,8.423181099933572,8.423181099933572,8.67955479992088,,return,0.25427090004086494,None,8.680539799970575,8.702465099981055,8.702465099981055,8.702465099981055,8.702465099981055,8.957565099932253,"

",return,0.24352269992232323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.958314099931158,8.9889872999629,10.972472699941136,10.972472699941136,11.623150200000964,return,0.6372832000488415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62318829994183,11.638774099992588,11.638774099992588,11.638774099992588,12.172968299943022,return,0.5205252999439836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.173389200004749,12.188698299927637,12.688429299974814,12.688429299974814,13.139412499964237,return,0.4444981999695301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.161463199998252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.153795299935155,13.161463199998252,16.154202799894847,16.154202799894847,16.505173199926503,return,0.3353506999555975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.505219899932854,16.520592999993823,16.770596999907866,16.770596999907866,17.187680499977432,return,0.41066359996329993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.194192499970086,17.20363979996182,20.202631799969822,20.202631799969822,20.570315899909474,return,0.3617443999974057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.570357199991122,20.585937900003046,21.08591429993976,21.83673149999231,return,0.7444725999375805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.848668799968436,21.85739579994697,22.10211400000844,23.06998679996468,return,0.9600395999150351,None,,,,,,,,,,,,,,,,,,,,,,,,597167,001,2024-07-31_16h31.10.073,generalizability_mini,2024.1.5,None,2024-07-31 16h31.39.600037 -0500,
