condition,randomizer.started,randomizer.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,begin_exp.started,begin_exp.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,consent.started,consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,consent2.started,consent2.stopped,consent_resp_2.keys,consent_resp_2.rt,consent_resp_2.duration,consent3.started,consent3.stopped,consent_resp_3.keys,consent_resp_3.rt,consent_resp_3.duration,consent4.started,consent4.stopped,consent_resp_4.keys,consent_resp_4.rt,consent_resp_4.duration,consent5.started,consent5.stopped,consent_resp_5.keys,consent_resp_5.rt,consent_resp_5.duration,consent6.started,consent6.stopped,consent_resp_6.keys,consent_resp_6.rt,consent_resp_6.duration,demographic_questions.started,demographic_questions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,demo_age.started,demo_age.stopped,textbox.text,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,demo_native_lang.started,demo_native_lang.stopped,textbox_5.text,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,demo_other_langs.started,demo_other_langs.stopped,textbox_6.text,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,demo_info.thisRepN,demo_info.thisTrialN,demo_info.thisN,demo_info.thisIndex,demo_info.ran,instructions.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,begin_experiment.started,begin_experiment.stopped,experiment_start_resp.keys,experiment_start_resp.rt,experiment_start_resp.duration,training.started,training.stopped,textbox_7.text,key_resp_18.keys,training_2.started,training_2.stopped,clear_screen.started,clear_screen.stopped,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,training_block.ran,stem,suffix,label,stem_filename,file,filepath,image_size,image_location,audio_files,key_resp_18.rt,key_resp_18.duration,which_condition.thisRepN,which_condition.thisTrialN,which_condition.thisN,which_condition.thisIndex,which_condition.ran,which_condition.order,select_condition,training_block.order
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3502,120.8469,korberkonem,"[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return"",""k"",""o"",""r"",""a"",""N/A""]",120.847,121.3435,121.3435,121.8406,0,6,6,9,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,"[1.3420999999996184,1.4497999999998115,1.5042999999998017,1.597699999999719,1.6862999999997896,1.8395999999996206,1.9539999999999793,2.128899999999902,2.29849999999999,3.2501999999997224,3.3528999999998916,3.4500999999996225,3.546999999999997,4.118199999999717]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8407,125.6774,berkonem,"[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",125.6776,126.1739,126.1739,126.6711,0,7,7,5,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,"[2.5373999999999057,2.673600000000107,2.771000000000015,2.897700000000185,3.0674999999999955,3.4977999999998133,3.6016000000001043,3.698100000000096,3.8259999999999934]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6713,129.4295,korasil,"[""k"",""o"",""r"",""a"",""s"",""i"",""l"",""return""]",129.4296,129.9257,129.9257,130.4243,0,8,8,17,1,kora,sil,korasil,3,3_2.PNG,stems_all/3_2.PNG,,,zara_audio_files/korasil.wav,"[1.5113999999999237,1.6001999999997452,1.6791999999997245,1.7753999999999053,2.2076999999997327,2.441199999999725,2.5260000000000105,2.752500000000026]","[null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4245,133.7386,balnem,"[""b"",""a"",""l"",""d"",""N/A"",""n"",""e"",""d"",""N/A"",""m"",""return""]",133.7387,134.2352,134.2352,134.7321,0,9,9,3,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,"[1.3076999999996985,1.4125999999996282,1.547299999999808,1.771199999999709,2.1402999999997974,2.32329999999979,2.4190999999996166,2.539699999999698,2.9471999999996967,3.1413999999998907,3.307299999999799]","[null,null,null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7323,137.3169,berkodan,"[""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]",137.317,137.8126,137.8126,138.3151,0,10,10,13,1,berko,dan,berkodan,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkodan.wav,"[1.7296000000000902,1.8536000000000854,1.9385000000000048,2.0028000000002635,2.0718000000002803,2.192899999999895,2.3079999999999927,2.4189999999999827,2.5808999999999003]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3153,140.2601,balnem,"[""b"",""a"",""l"",""n"",""e"",""m"",""return""]",140.2602,140.7565,140.7565,141.2538,0,11,11,2,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,"[1.287899999999894,1.4003000000002714,1.4799999999999898,1.673200000000179,1.7680000000000007,1.8319999999999936,1.93589999999989]","[null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.2539,142.7777,bal,"[""b"",""a"",""l"",""return""]",142.7777,143.2781,143.2781,143.7751,0,12,12,21,1,bal,none,bal,1,1.PNG,stems_all/1.PNG,,,zara_audio_files/bal.wav,"[1.2011999999997443,1.2941999999997336,1.3770999999996434,1.5123999999999285]","[null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7753,148.2727,belnem,"[""b"",""e"",""l"",""n"",""e"",""m"",""return""]",148.2728,148.7694,148.7694,149.2664,0,13,13,18,1,bal,shoon,balshoon,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balshoon.wav,"[0.9451999999997156,1.0631999999997106,1.127199999999732,1.2719999999999914,1.383799999999809,1.4960000000000093,1.575599999999639]","[null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2666,153.1056,koranem,"[""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",153.1056,153.6023,153.6023,154.0984,0,14,14,10,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,"[2.8461000000000922,2.930999999999983,3.0279999999999916,3.1227000000001794,3.3672999999998012,3.5246000000000777,3.6597000000001856,3.8341000000000918]","[null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0985,157.021,berkosil,"[""b"",""e"",""r"",""k"",""o"",""s"",""i"",""l"",""return""]",157.021,157.5211,157.5212,158.0183,0,15,15,16,1,berko,sil,berkosil,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkosil.wav,"[1.529100000000085,1.632000000000005,1.7832000000001926,1.88900000000001,1.96120000000019,2.5095000000000027,2.6257000000001938,2.6974000000003855,2.9156000000000972]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0184,162.5173,,,162.5173,163.0211,163.0211,163.5216,0,16,16,19,1,berko,shoon,berkoshoon,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkoshoon.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5217,167.5162,koranem,"[""b"",""N/A"",""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",167.5162,168.0127,168.0127,168.5097,0,17,17,11,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,"[2.230600000000095,2.619199999999722,3.125299999999811,3.205199999999735,3.285299999999836,3.4375,3.6613999999999294,3.758299999999821,3.870799999999832,3.981299999999834]","[null,null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5099,171.5165,kora,"[""b"",""N/A"",""k"",""o"",""r"",""a"",""return""]",171.5165,172.0129,172.0129,172.5113,0,18,18,23,1,kora,none,kora,3,3.PNG,stems_all/3.PNG,,,zara_audio_files/kora.wav,"[1.6778000000002748,2.2841000000000804,2.6051000000000784,2.7022000000001754,2.77639999999991,2.895800000000264,2.9962000000001865]","[null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.5116,177.0091,berko],"[""b"",""e"",""r"",""k"",""o"",""bracketright"",""return"",""N/A"",""N/A""]",177.0091,177.5102,177.5102,178.0074,0,19,19,4,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,"[1.3167000000001678,1.406200000000183,1.4851000000000738,1.5819999999999936,1.6731000000000904,1.8681000000000836,1.884999999999991,2.7835000000000036,4.427900000000363]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0075,181.8706,koranem,"[""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",181.8707,182.3666,182.3666,182.868,0,20,20,8,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,"[3.1208999999999207,3.175700000000205,3.2906000000000972,3.3777000000002033,3.5208999999999264,3.636299999999835,3.729700000000207,3.8542000000001906]","[null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.8682,187.367,,,187.367,187.8684,187.8684,188.3653,0,21,21,0,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.3655,190.9478,balsil,"[""b"",""l"",""N/A"",""a"",""l"",""s"",""i"",""l"",""return""]",190.9478,191.4444,191.4444,191.9412,0,22,22,15,1,bal,sil,balsil,1,1_2.PNG,stems_all/1_2.PNG,,,zara_audio_files/balsil.wav,"[1.179299999999813,1.315799999999797,1.7202999999998099,1.8412999999998192,1.969099999999628,2.242500000000007,2.3392999999998096,2.4003999999994505,2.571899999999431]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9413,196.4393,berko,"[""b"",""e"",""r"",""k"",""o"",""return""]",196.4393,196.9359,196.9359,197.4326,0,23,23,6,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,"[1.1648000000007528,1.2620000000000005,1.365000000000009,1.4698000000007596,1.4927000000002124,1.692700000000201]","[null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h43.32.025,generalizability_mini,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4329,199.1261,berkonem,"[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",199.1262,199.6279,199.6279,200.1236,1,0,24,4,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,"[0.9091000000005636,0.9996000000005552,1.1041000000005567,1.181400000000366,1.2692000000001826,1.4375,1.5193000000007544,1.6225000000000023,1.6891000000005647]","[null,null,null,null,null,null,null,null,null]",,,,,,,,
