condition,randomizer.started,randomizer.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,begin_exp.started,begin_exp.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,consent.started,consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,consent2.started,consent2.stopped,consent_resp_2.keys,consent_resp_2.rt,consent_resp_2.duration,consent3.started,consent3.stopped,consent_resp_3.keys,consent_resp_3.rt,consent_resp_3.duration,consent4.started,consent4.stopped,consent_resp_4.keys,consent_resp_4.rt,consent_resp_4.duration,consent5.started,consent5.stopped,consent_resp_5.keys,consent_resp_5.rt,consent_resp_5.duration,consent6.started,consent6.stopped,consent_resp_6.keys,consent_resp_6.rt,consent_resp_6.duration,demographic_questions.started,demographic_questions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,demo_age.started,demo_age.stopped,textbox.text,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,demo_native_lang.started,demo_native_lang.stopped,textbox_5.text,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,demo_other_langs.started,demo_other_langs.stopped,textbox_6.text,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,demo_info.thisRepN,demo_info.thisTrialN,demo_info.thisN,demo_info.thisIndex,demo_info.ran,instructions.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,begin_experiment.started,begin_experiment.stopped,experiment_start_resp.keys,experiment_start_resp.rt,experiment_start_resp.duration,training.started,training.stopped,textbox_7.text,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,training_2.started,training_2.stopped,clear_screen.started,clear_screen.stopped,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,training_block.ran,stem,suffix,label,stem_filename,file,filepath,image_size,image_location,audio_files,prod_instr.started,prod_instr.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,prod_inst_2.started,prod_inst_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.duration,big_image_flash.started,big_image_flash.stopped,prod_four_images.started,prod_four_images.stopped,prod_pre.started,prod_pre.stopped,production.started,production.stopped,prod_resp.text,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,blank_trial.started,blank_trial.stopped,production_block.thisRepN,production_block.thisTrialN,production_block.thisN,production_block.thisIndex,production_block.ran,prod_label,prod_image1,prod_image2,prod_condition,alt_image1,alt_image2,prod_image2_size,alt_image2_size,prod_image2_location,alt_image1_location,alt_image2_location,comp_inst.started,comp_inst.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.duration,comp_instructions_cont.started,comp_instructions_cont.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.duration,big_image_flash_fc.started,big_image_flash_fc.stopped,fc_flash.started,fc_flash.stopped,fc_pre.started,fc_pre.stopped,forced_choice.started,comp_label1_location,comp_label2_location,forced_choice.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,forced_choice_block.thisRepN,forced_choice_block.thisTrialN,forced_choice_block.thisN,forced_choice_block.thisIndex,forced_choice_block.ran,label1,suffix1,label2,suffix2,comp_image,comp_condition_stem,comp_condition_suffix,image1,comp_image_size,comp_image_location,alt_image1_size,comprehension_instructions.started,comprehension_instructions.stopped,key_resp_33.keys,key_resp_33.rt,key_resp_33.duration,comprehension_four_images.started,comprehension_four_images.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,comprehension_loop.thisRepN,comprehension_loop.thisTrialN,comprehension_loop.thisN,comprehension_loop.thisIndex,comprehension_loop.ran,comprehension_label,image2,stem_condition,image3,image4,image1_label,image2_label,image3_label,image4_label,debriefing0.started,debriefing0.stopped,key_resp_29.keys,key_resp_29.rt,key_resp_29.duration,debriefing1.started,debriefing1.stopped,key_resp_28.keys,key_resp_28.rt,key_resp_28.duration,debriefing2.started,debriefing2.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,debriefing3.started,debriefing3.stopped,key_resp_31.keys,key_resp_31.rt,key_resp_31.duration,end.started,end.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.5895,132.2384,berko,"[""b"",""e"",""r"",""k"",""o"",""return""]","[2.0965000000000202,2.192399999999452,2.2890999999996495,2.368699999999251,2.4485999999996295,2.640599999999637]","[null,null,null,null,null,null]",132.2384,132.735,132.7351,133.232,0,6,6,22,1,berko,none,berko,2,2.PNG,stems_all/2.PNG,,,zara_audio_files/berko.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2322,135.6992,berkosil,"[""b"",""e"",""r"",""k"",""o"",""s"",""i"",""l"",""return""]","[1.2152999999998144,1.3111000000005788,1.3991000000005727,1.4720000000000084,1.5752000000001942,2.0870000000000175,2.190900000000397,2.263200000000211,2.4635000000000105]","[null,null,null,null,null,null,null,null,null]",135.6992,136.1959,136.1959,136.6958,0,7,7,16,1,berko,sil,berkosil,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkosil.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.696,139.6936,ostonem,"[""o"",""s"",""t"",""o"",""n"",""e"",""m"",""return""]","[2.140800000000752,2.196900000000369,2.34110000000058,2.4312000000001888,2.7168000000007453,2.806100000000555,2.9170000000000016,2.9886000000005595]","[null,null,null,null,null,null,null,null]",139.6937,140.19,140.19,140.687,0,8,8,8,1,osto,nem,ostonem,9,9_dim_sg.PNG,stems_all/9_dim_sg.PNG,,,zara_audio_files/ostonem.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.6872,143.5237,balsil,"[""b"",""a"",""l"",""s"",""i"",""l"",""return""]","[1.9139999999999873,2.041299999999808,2.200200000000166,2.405000000000001,2.4959000000003755,2.6072000000001765,2.8310999999996227]","[null,null,null,null,null,null,null]",143.5239,144.0219,144.022,144.5234,0,9,9,15,1,bal,sil,balsil,1,1_2.PNG,stems_all/1_2.PNG,,,zara_audio_files/balsil.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.5236,147.9565,balnem,"[""b"",""a"",""l"",""n"",""e"",""m"",""return""]","[2.321499999999986,2.462399999999434,2.5352000000001738,2.8368999999994458,2.9822000000001765,3.190200000000175,3.4242999999998176]","[null,null,null,null,null,null,null]",147.9566,148.4572,148.4572,148.9555,0,10,10,0,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.9557,152.2904,korashoon,"[""k"",""o"",""r"",""a"",""s"",""h"",""o"",""o"",""n"",""return""]","[2.2322000000001765,2.352000000000004,2.4487999999998067,2.5517000000001815,2.767599999999618,2.8563999999994394,2.984000000000009,3.157999999999987,3.2634999999999934,3.327700000000192]","[null,null,null,null,null,null,null,null,null,null]",152.2904,152.7906,152.7906,153.2891,0,11,11,20,1,kora,shoon,korashoon,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/korashoon.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2893,156.4581,berkodan,"[""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]","[2.2340999999996427,2.346899999999465,2.442700000000201,2.5468999999994537,2.668500000000023,2.8102999999998133,2.9343999999994423,3.0185000000000173,3.162000000000006]","[null,null,null,null,null,null,null,null,null]",156.4582,156.9546,156.9546,157.453,0,12,12,13,1,berko,dan,berkodan,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkodan.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4532,160.9249,berkonem,"[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]","[2.18259999999961,2.5282000000001688,2.5984000000003675,2.736200000000167,2.8799999999999955,3.15040000000036,3.2622999999998115,3.358599999999626,3.4622000000001663]","[null,null,null,null,null,null,null,null,null]",160.925,161.4214,161.4214,161.9186,0,13,13,1,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.9187,163.4039,bal,"[""b"",""a"",""l"",""return""]","[1.2169000000003791,1.2960000000000207,1.3685999999996454,1.4797999999998126]","[null,null,null,null]",163.4039,163.9004,163.9005,164.3974,0,14,14,21,1,bal,none,bal,1,1.PNG,stems_all/1.PNG,,,zara_audio_files/bal.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,201,2025-01-20_16h51.41.759,generalizability_mini,2023.2.2,Win32,169.4915254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3976,168.895,koradem,"[""k"",""o"",""r"",""a"",""d"",""e"",""m"",""return""]","[1.0807000000001779,1.2172000000001901,1.314599999999615,1.400700000000171,1.5387000000001763,1.665900000000363,1.7384000000003823,1.8087000000001865]","[null,null,null,null,null,null,null,null]",168.8951,169.3916,169.3916,169.8886,0,15,15,2,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
