condition,randomizer.started,randomizer.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,begin_exp.started,begin_exp.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,consent.started,consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,consent2.started,consent2.stopped,consent_resp_2.keys,consent_resp_2.rt,consent_resp_2.duration,consent3.started,consent3.stopped,consent_resp_3.keys,consent_resp_3.rt,consent_resp_3.duration,consent4.started,consent4.stopped,consent_resp_4.keys,consent_resp_4.rt,consent_resp_4.duration,consent5.started,consent5.stopped,consent_resp_5.keys,consent_resp_5.rt,consent_resp_5.duration,consent6.started,consent6.stopped,consent_resp_6.keys,consent_resp_6.rt,consent_resp_6.duration,demographic_questions.started,demographic_questions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,demo_age.started,demo_age.stopped,textbox.text,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,demo_native_lang.started,demo_native_lang.stopped,textbox_5.text,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,demo_other_langs.started,demo_other_langs.stopped,textbox_6.text,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,demo_info.thisRepN,demo_info.thisTrialN,demo_info.thisN,demo_info.thisIndex,demo_info.ran,instructions.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,begin_experiment.started,begin_experiment.stopped,experiment_start_resp.keys,experiment_start_resp.rt,experiment_start_resp.duration,training.started,training.stopped,textbox_7.text,key_resp_18.keys,training_2.started,training_2.stopped,clear_screen.started,clear_screen.stopped,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,training_block.ran,stem,suffix,label,stem_filename,file,filepath,image_size,image_location,audio_files,key_resp_18.rt,key_resp_18.duration,which_condition.thisRepN,which_condition.thisTrialN,which_condition.thisN,which_condition.thisIndex,which_condition.ran,which_condition.order,select_condition,training_block.order
3,0.0002,0.0002,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,0.0013,1.7153,space,1.711,,1.7154,2.5267,space,0.8037,,2.5267,2.975,space,0.4403,,2.975,3.3268,space,0.3437,,3.3269,3.6252,space,0.2913,,3.6253,3.8678,space,0.2364,,3.8679,4.1405,space,0.2666,,4.1406,4.7831,space,0.6354,,4.7831,7.2993,18,return,2.5091,,7.2994,10.5454,English,return,3.2382,,10.5455,12.9942,,return,2.4381,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9943,26.3369,return,11.3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.337,33.2924,return,6.9493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2949,37.791,,,37.791,38.2921,38.2921,38.792,0,0,0,9,1,vorke,dan,vorkedan,10,10_2.PNG,stems_all/10_2.PNG,,,zara_audio_files/vorkedan.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7922,42.2333,balnem,"[""b"",""a"",""l"",""n"",""e"",""m"",""return""]",42.2334,42.7353,42.7353,43.2318,0,1,1,12,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,"[2.7295999999996283,2.860999999999997,2.9378999999999067,3.155999999999999,3.2346999999997195,3.337699999999721,3.4346999999997223]","[null,null,null,null,null,null,null]",,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.232,47.7292,,,47.7292,48.226,48.226,48.7229,0,2,2,20,1,kora,shoon,korashoon,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/korashoon.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7231,53.2205,,,53.2205,53.7175,53.7175,54.2147,0,3,3,16,1,berko,sil,berkosil,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkosil.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2149,58.7118,,,58.7119,59.2087,59.2087,59.7056,0,4,4,18,1,bal,shoon,balshoon,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balshoon.wav,,,,,,,,,,
,,,60594,001,2025-01-20_16h38.01.382,generalizability_mini,2023.2.2,Win32,161.2903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7058,64.203,,,64.2031,64.7,64.7,65.1968,0,5,5,7,1,kudom,dan,kudomdan,8,8_2.PNG,stems_all/8_2.PNG,,,zara_audio_files/kudomdan.wav,,,,,,,,,,
