key_resp_14.rt,alt_image1_location,__experimentName,key_resp_21.rt,experiment_start_resp.rt,key_resp_18.keys,demo_info.thisRepN,key_resp_4.keys,key_resp_11.rt,textbox_7.text,key_resp_14.keys,test_loop.ran,date,key_resp_26.rt,expName,pretraining_plus_test.thisTrialN,condition,consent_resp.keys,key_resp_5.rt,pretraining_loop.ran,prod_label,production_block.ran,key_resp_13.rt,pretraining_loop.thisN,image_size,key_resp_3.rt,test_loop.thisTrialN,key_resp_4.rt,consent_resp.rt,forced_choice_block.thisIndex,textbox_3.text,key_resp_26.keys,prod_condition,image1,label2,key_resp_15.rt,textbox_2.text,alt_image1,filepath,key_resp_17.rt,training_block.thisIndex,pretraining,training_block.thisN,label1,key_resp_15.keys,training_block.thisRepN,demo_info.thisTrialN,production_block.thisRepN,textbox_4.text,key_resp_17.keys,key_resp_21.keys,key_resp_6.keys,production_block.thisIndex,pretraining_loop.thisTrialN,key_resp_18.rt,suffix1,forced_choice_block.thisN,comp_label1_location,demo_info.thisIndex,alt_image2_location,demo_info.ran,key_resp_10.rt,key_resp_22.keys,test_loop.thisIndex,prod_resp.text,pretraining_loop.thisRepN,key_resp_13.keys,suffix2,training_block.thisTrialN,key_resp_23.keys,alt_image2,key_resp_20.rt,pretraining_loop.thisIndex,comp_image_location,textbox_6.text,production_block.thisTrialN,key_resp_24.keys,key_resp_10.keys,forced_choice_block.thisTrialN,key_resp_16.rt,session,prod_image2_size,forced_choice_block.thisRepN,key_resp_20.keys,stem_filename,comp_image,comp_condition_stem,key_resp_5.keys,prod_image2,key_resp_9.rt,comp_image_size,pretraining_plus_test.order,prod_image1,key_resp_7.keys,key_resp_23.rt,psychopyVersion,comp_label2_location,suffix,key_resp_9.keys,key_resp_11.keys,key_resp_22.rt,test_loop.thisN,comp_condition_suffix,textbox_5.text,key_resp_6.rt,key_resp_16.keys,forced_choice_block.ran,demo_info.thisN,textbox.text,__session,alt_image2_size,stem,pretraining_plus_test.thisRepN,test_loop.thisRepN,alt_image1_size,textbox_10.text,__participant,key_resp_8.rt,frameRate,participant,key_resp_8.keys,pretraining_plus_test.thisN,__datetime,file,experiment_start_resp.keys,training_block.ran,OS,pretraining_plus_test.thisIndex,key_resp_24.rt,textbox_9.text,production_block.thisN,pretraining_loop.order,label,pretraining_plus_test.ran,key_resp_3.keys,key_resp_7.rt,prod_image2_location
﻿,,generalizability,,,m,,,,binnem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/3_dim_sg.PNG,,10,,5,,,0,,,,,,,,,1.9909999999999854,,,,,,,,,,,,,,5,,,,,,,,,,,,001,,,,11,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,bin,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_dim_sg.PNG,,1,MacIntel,,,,,,binnem,,,,
﻿,,generalizability,,,m,,,,vorkenem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/3_dim_sg.PNG,,9,,6,,,0,,,,,,,,,1.9429999999997563,,,,,,,,,,,,,,6,,,,,,,,,,,,001,,,,10,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,vorke,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_dim_sg.PNG,,1,MacIntel,,,,,,vorkenem,,,,
﻿,,generalizability,,,n,,,,baldan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/3_2.PNG,,14,,7,,,0,,,,,,,,,1.5330000000003565,,,,,,,,,,,,,,7,,,,,,,,,,,,001,,,,1,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,bal,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_2.PNG,,1,MacIntel,,,,,,baldan,,,,
﻿,,generalizability,,,n,,,,koradan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/12_2.PNG,,23,,8,,,0,,,,,,,,,2.2489999999997963,,,,,,,,,,,,,,8,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,12_2.PNG,,1,MacIntel,,,,,,koradan,,,,
﻿,,generalizability,,,n,,,,berkodan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/6_2.PNG,,17,,9,,,0,,,,,,,,,2.145999999999731,,,,,,,,,,,,,,9,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,6_2.PNG,,1,MacIntel,,,,,,berkodan,,,,
﻿,,generalizability,,,m,,,,kudomnem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/2_dim_sg.PNG,,7,,10,,,0,,,,,,,,,2.507999999999811,,,,,,,,,,,,,,10,,,,,,,,,,,,001,,,,8,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,kudom,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_dim_sg.PNG,,1,MacIntel,,,,,,kudomnem,,,,
﻿,,generalizability,,,m,,,,baninem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/2_dim_sg.PNG,,5,,11,,,0,,,,,,,,,1.719000000000051,,,,,,,,,,,,,,11,,,,,,,,,,,,001,,,,6,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,bani,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_dim_sg.PNG,,1,MacIntel,,,,,,baninem,,,,
﻿,,generalizability,,,n,,,,balshoon,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/1_dim_sg.PNG,,27,,12,,,0,,,,,,,,,1.8989999999998872,,,,,,,,,,,,,,12,,,,,,,,,,,,001,,,,1,,,,,,,,,,,2022.2.5,,shoon,,,,,,,,,,,,001,,bal,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,1_dim_sg.PNG,,1,MacIntel,,,,,,balshoon,,,,
﻿,,generalizability,,,m,,,,ostonem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/3_dim_sg.PNG,,8,,13,,,0,,,,,,,,,1.7290000000002692,,,,,,,,,,,,,,13,,,,,,,,,,,,001,,,,9,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,osto,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_dim_sg.PNG,,1,MacIntel,,,,,,ostonem,,,,
﻿,,generalizability,,,l,,,,korasil,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/3_2.PNG,,26,,14,,,0,,,,,,,,,1.9750000000003638,,,,,,,,,,,,,,14,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,sil,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_2.PNG,,1,MacIntel,,,,,,korasil,,,,
﻿,,generalizability,,,n,,,,berkodan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/8_2.PNG,,19,,15,,,0,,,,,,,,,2.199000000000069,,,,,,,,,,,,,,15,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,8_2.PNG,,1,MacIntel,,,,,,berkodan,,,,
﻿,,generalizability,,,m,,,,berkonem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/1_dim_sg.PNG,,1,,16,,,0,,,,,,,,,2.4699999999998,,,,,,,,,,,,,,16,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,1_dim_sg.PNG,,1,MacIntel,,,,,,berkonem,,,,
