Stem,Meaning,Frequent,Infrequent,freq_to_infreq,Condition,label,freq,infreq,freq_probs,freq_probs_linear
Familiar,Novel,0.14237897815166561,-0.16131654266592857,0.3036955208175942,Type Frequency,Familiar Novel,0.5355347354676591,0.4597580945231759,0.5380675107170122,0.07577664094448316
Familiar,Original,1.620679778073305,1.4894393962702996,0.13124038180300546,Type Frequency,Familiar Original,0.8348888581783896,0.8159941141194097,0.5057226176464469,0.01889474405897995
Novel,Novel,0.5420679831581939,-0.1819008154707159,0.7239687986289098,Type Frequency,Novel Novel,0.6322933520571229,0.4546497725695117,0.5817170537550582,0.17764357948761117
Novel,Original,2.0203687830798334,1.4688551234655125,0.5515136596143209,Type Frequency,Novel Original,0.8829191366971871,0.8128833080668332,0.520649760485544,0.07003582863035396
Familiar,Novel,0.16440760367231627,-1.0722555109216976,1.236663114594014,Token Frequency,Familiar Novel,0.5410095689293315,0.25497438505406994,0.6796739635540606,0.28603518387526156
Familiar,Original,1.3315112467557029,-0.019169888646097477,1.3506811354018002,Token Frequency,Familiar Original,0.7910905028473798,0.49520767459640436,0.615013312402795,0.29588282825097545
Novel,Novel,0.46343383696053,-0.2883957661119319,0.7518296030724618,Token Frequency,Novel Novel,0.6138284609118299,0.4283966553676029,0.5889595743989491,0.18543180554422695
Novel,Original,1.6305374800439165,0.7646898561636681,0.8658476238802484,Token Frequency,Novel Original,0.8362432548508101,0.682371085176223,0.5506620297263385,0.15387216967458706
Familiar,Novel,0.3983580406674322,-0.7473312653411532,1.1456893060085855,Type-Token Frequency,Familiar Novel,0.5982930978920721,0.3214030825977976,0.6505334159084966,0.2768900152942745
Familiar,Original,1.4965249215129819,0.36138367946516176,1.1351412420478202,Type-Token Frequency,Familiar Original,0.8170556084683345,0.5893753425236434,0.5809425680599907,0.22768026594469104
Novel,Novel,0.8249232673374822,-0.5870112330957142,1.4119345004331965,Type-Token Frequency,Novel Novel,0.695280412582621,0.3573209096705722,0.6605353782895761,0.3379595029120488
Novel,Original,1.923090148183032,0.5217037117106008,1.401386436472431,Type-Token Frequency,Novel Original,0.8724826292465132,0.627546064715668,0.5816439597178201,0.24493656453084522
