Term,Estimate,Est.Error,Q2.5,Q97.5,Prob,Lower,Upper,Model,Meaning,Frequency,Task,Condition,Stem
Intercept,0.29602609052534035,0.34928895491432926,-0.3755004650097541,1.0091818177302079,0.5734707754213397,0.4072125869413473,0.732859999127188,original_meaning_freq_prod_model_cond1_familiar_stem,original,freq,prod,cond1,familiar
Intercept,-1.735384788163739,0.5382462184898719,-2.715976000936164,-0.4670059394165768,0.1499001014790311,0.062037204848154115,0.3853251419655308,novel_meaning_freq_prod_model_cond1_familiar_stem,novel,freq,prod,cond1,familiar
Intercept,0.538793547907589,0.37351154993756197,-0.16285675485333326,1.3067820139524406,0.6315317216273736,0.45937555949837006,0.7869741721584429,original_meaning_infreq_prod_model_cond1_familiar_stem,original,infreq,prod,cond1,familiar
Intercept,-0.9561826433601521,0.5220602069325239,-2.059088478588795,-0.015053268348540823,0.2776431438776749,0.11313725734827736,0.49623675397550404,novel_meaning_infreq_prod_model_cond1_familiar_stem,novel,infreq,prod,cond1,familiar
Intercept,0.8290574039863343,0.38872881484238264,0.04000699746061622,1.5861998496995482,0.6961555859728807,0.5100004155454376,0.8300807766136185,original_meaning_freq_prod_model_cond2_familiar_stem,original,freq,prod,cond2,familiar
Intercept,-3.018759249856109,1.251550344599843,-5.223039763042357,-0.08144171516007004,0.0465855518598657,0.005362010927884942,0.47965081755849054,novel_meaning_freq_prod_model_cond2_familiar_stem,novel,freq,prod,cond2,familiar
Intercept,0.24701941674947772,0.3656307928397755,-0.45053346095703867,0.9999822763201227,0.5614427423228476,0.38923393841707105,0.7310550939287696,original_meaning_infreq_prod_model_cond2_familiar_stem,original,infreq,prod,cond2,familiar
Intercept,-3.180151164045915,0.9976283863368796,-5.256171529636206,-1.1800986194483358,0.03991954004112819,0.005188175368823531,0.23503446466029332,novel_meaning_infreq_prod_model_cond2_familiar_stem,novel,infreq,prod,cond2,familiar
Intercept,0.587512899396214,0.37203445251652384,-0.12861842033310655,1.337284232468136,0.6427942860739116,0.4678896487040255,0.7920429797007926,original_meaning_freq_prod_model_cond3_familiar_stem,original,freq,prod,cond3,familiar
Intercept,-0.525435227231529,0.471789923828722,-1.5351363525876924,0.3222344167091809,0.3715821766099353,0.1772434186522226,0.579868699896852,novel_meaning_freq_prod_model_cond3_familiar_stem,novel,freq,prod,cond3,familiar
Intercept,0.1959185781551074,0.37997313179129477,-0.5320232808303713,0.9819824211594972,0.548823573654605,0.37004511365782433,0.7275013948838405,original_meaning_infreq_prod_model_cond3_familiar_stem,original,infreq,prod,cond3,familiar
Intercept,-2.1228770214676316,0.9007343470506439,-3.939839701040125,-0.2909422547535856,0.10689309918357422,0.019080197262292414,0.4277732031690445,novel_meaning_infreq_prod_model_cond3_familiar_stem,novel,infreq,prod,cond3,familiar
Intercept,1.2968383002305437,0.5381767731488628,0.1268218787280137,2.2774799378733035,0.7853023932780375,0.5316630425793779,0.906994684140516,original_meaning_freq_prod_model_cond1_novel_stem,original,freq,prod,cond1,novel
Intercept,-0.7290040614633794,0.5010745781816159,-1.7743589597641305,0.18511435911732743,0.32541331731158823,0.1450010868614686,0.5461468874429053,novel_meaning_freq_prod_model_cond1_novel_stem,novel,freq,prod,cond1,novel
Intercept,0.37545299483741074,0.3960424887456627,-0.3604558935106968,1.2132424193251954,0.5927759541597365,0.4108492114596155,0.7708721549147775,original_meaning_infreq_prod_model_cond1_novel_stem,original,infreq,prod,cond1,novel
Intercept,-2.0452354239985406,0.760407578784664,-3.4886068940401036,-0.34256136614318006,0.11453470118718544,0.029638143279036692,0.41518742508619866,novel_meaning_infreq_prod_model_cond1_novel_stem,novel,infreq,prod,cond1,novel
Intercept,1.7775190048382843,0.641610983701089,0.25865783771643125,2.9180734575791827,0.8553902428408875,0.5643063300096837,0.9487326749795245,original_meaning_freq_prod_model_cond2_novel_stem,original,freq,prod,cond2,novel
Intercept,-4.367896174962336,1.2032432004567026,-6.985229202517247,-2.276693108251402,0.012519168014859066,9.245954886122848e-4,0.09307171038805476,novel_meaning_freq_prod_model_cond2_novel_stem,novel,freq,prod,cond2,novel
Intercept,0.2676972586221847,0.4256157069432622,-0.5176710441637883,1.1708912472094166,0.5665274982102129,0.37339698252008463,0.7633060750659748,original_meaning_infreq_prod_model_cond2_novel_stem,original,infreq,prod,cond2,novel
Intercept,-3.6092286114926058,1.2704538302162363,-6.30825688256378,-1.0567495456473588,0.026359109545218938,0.0018178942900057133,0.2579311105958994,novel_meaning_infreq_prod_model_cond2_novel_stem,novel,infreq,prod,cond2,novel
Intercept,1.688104115213735,0.7366958313321619,0.06037085175169536,2.97647709639641,0.8439746698393512,0.5150881306495476,0.9515000557281607,original_meaning_freq_prod_model_cond3_novel_stem,original,freq,prod,cond3,novel
Intercept,0.07710599039472012,0.5393464628301634,-0.97461534756291,1.195277106723085,0.5192669528389975,0.2739615219975351,0.7676835417304948,novel_meaning_freq_prod_model_cond3_novel_stem,novel,freq,prod,cond3,novel
Intercept,0.12029865758466228,0.41033524285296874,-0.6714166288385015,0.9637710929508214,0.5300384473463795,0.33817970651071955,0.7238762051038115,original_meaning_infreq_prod_model_cond3_novel_stem,original,infreq,prod,cond3,novel
Intercept,-2.3273930775152882,0.8740284376339998,-4.079396395788181,-0.4708652026523809,0.08887954563000067,0.016636227868640264,0.3844114821986116,novel_meaning_infreq_prod_model_cond3_novel_stem,novel,infreq,prod,cond3,novel
