Stem,Meaning,Frequent,Infrequent,freq_to_infreq,Condition,label,freq,infreq,freq_probs,alpha,beta,beta2
Familiar,Novel,0.4684127660518884,0.4184178215260042,0.04999494452588421,Type Frequency,Familiar Novel,0.4684127660518884,0.4184178215260042,0.528187426790516,0.25,0.2,0.18
Familiar,Original,0.6250213477659556,0.626605878157054,-0.0015845303910984043,Type Frequency,Familiar Original,0.6250213477659556,0.626605878157054,0.499367011855335,0.25,0.2,0.18
Novel,Novel,0.49430565268929383,0.36111030911921604,0.13319534357007778,Type Frequency,Novel Novel,0.49430565268929383,0.36111030911921604,0.5778541373535268,0.25,0.2,0.18
Novel,Original,0.6509142344033609,0.5692983657502659,0.081615868653095,Type Frequency,Novel Original,0.6509142344033609,0.5692983657502659,0.5334432985869919,0.25,0.2,0.18
Familiar,Novel,0.4562260944478148,0.28218630774637166,0.17403978670144316,Token Frequency,Familiar Novel,0.4562260944478148,0.28218630774637166,0.617847280316721,0.25,0.2,0.18
Familiar,Original,0.6634662784525227,0.3843003018790371,0.27916597657348563,Token Frequency,Familiar Original,0.6634662784525227,0.3843003018790371,0.6332195461345718,0.25,0.2,0.18
Novel,Novel,0.3362293237779984,0.19849376724043524,0.13773555653756317,Token Frequency,Novel Novel,0.3362293237779984,0.19849376724043524,0.6287914799744594,0.25,0.2,0.18
Novel,Original,0.5434695077827063,0.3006077613731007,0.24286174640960562,Token Frequency,Novel Original,0.5434695077827063,0.3006077613731007,0.6438622714319157,0.25,0.2,0.18
Familiar,Novel,0.45740531873090856,0.18934854672252477,0.2680567720083838,Type-Token Frequency,Familiar Novel,0.45740531873090856,0.18934854672252477,0.7072324467828667,0.25,0.2,0.18
Familiar,Original,0.6349926927253814,0.35610991083362503,0.27888278189175636,Type-Token Frequency,Familiar Original,0.6349926927253814,0.35610991083362503,0.6406931940700692,0.25,0.2,0.18
Novel,Novel,0.486630355984382,0.16633139647985526,0.3202989595045267,Type-Token Frequency,Novel Novel,0.486630355984382,0.16633139647985526,0.7452662489768644,0.25,0.2,0.18
Novel,Original,0.6642177299788548,0.3330927605909555,0.33112496938789926,Type-Token Frequency,Novel Original,0.6642177299788548,0.3330927605909555,0.6660089673772067,0.25,0.2,0.18
