training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿0,,,,,,,,,001,,berko,332893,2_dim_sg.PNG,,,,,,berkonem,,,,332893,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,0,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,0,58.8235294117647,,,,"['0.2', '0.22']",,,,,,,,,,,,,,001,,,,,,,,1,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[10.734000000000002,10.898999999999994,11.128999999999998,11.186,11.338000000000001,11.573,11.747999999999998,11.857999999999997,12.365000000000002]",,,,,,
﻿1,,,,,,,,,001,,berko,332893,2_dim_sg.PNG,,,,,,berkonem,,,,332893,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,1,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,0,58.8235294117647,,,,"['0.2', '0.22']",,,,,,,,,,,,,,001,,,,,,,,2,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.1890000000000072,1.3200000000000074,1.5480000000000018,1.6370000000000005,1.7700000000000102,1.9429999999999978,2.0530000000000115,2.187000000000012,2.5930000000000035]",,,,,,
﻿2,,,,,,,,,001,,kora,332893,3_dim_sg.PNG,,,,,,korashoon,,,,332893,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,2,,,,,"['0.20', '0.20']","[""n"",""a"",""k"",""backspace"",""backspace"",""backspace"",""k"",""o"",""r"",""a"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,korashoon,,stems_all/3_dim_sg.PNG,,,,,,,0,58.8235294117647,,,,"['0.2', '0.22']",,,,,,,,,,,,,,001,,,,,,,,4,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,3,,,1,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.656000000000006,1.8160000000000025,1.9450000000000074,2.3100000000000023,2.5,2.6940000000000026,3.0490000000000066,3.1970000000000027,3.2310000000000088,3.5050000000000097,3.6770000000000067,3.7450000000000045,3.9110000000000014,4.097000000000008,4.194000000000003,4.5530000000000115]",,,,,,
﻿3,,,,,,,,,001,,kora,332893,3_2.PNG,,,,,,korasil,,,,332893,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,3,,,,,"['0.35', '0.35']","[""k"",""o"",""r"",""a"",""s"",""i"",""l"",""return""]",,,,korasil,,stems_all/3_2.PNG,,,,,,,0,58.8235294117647,,,,"['-0.2', '-0.18']",,,,,,,,,,,,,,001,,,,,,,,3,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,3,,,1,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.2560000000000002,2.394999999999996,2.4680000000000035,2.7249999999999943,2.902000000000001,2.9839999999999947,3.1509999999999962,3.469999999999999]",,,,,,
﻿4,,,,,,,,,001,,bal,332893,1_2.PNG,,,,,,baldan,,,,332893,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,4,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""d"",""a"",""n"",""return""]",,,,baldan,,stems_all/1_2.PNG,,,,,,,0,58.8235294117647,,,,"['-0.2', '-0.18']",,,,,,,,,,,,,,001,,,,,,,,0,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,1,,,1,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.247,2.361000000000004,2.480000000000004,2.625,2.8400000000000034,2.939000000000007,3.26700000000001]",,,,,,
﻿,,,,,,,,,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,,,,,,,return,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,3.314000000000007,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,,,,,,,,,,,return,,,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,1.492999999999995,,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,"['0.2', '-0.18']",,,"['-0.2', '-0.18']",,,,001,,,332893,3_dim_pl.PNG,,,,,,,"['0.35', '0.35']",,"korashoon
",332893,0,1,,,,,,,,kora,,,,,,0,,,,,stems_all/3_dim_pl.PNG,,2022.2.5,,,4,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,familiar,,,,,,0,stems_all/3_2.PNG,return,,,,"['0.2', '0.22']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,3.2750000000000057,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/3_dim_sg.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/3.PNG
﻿,,"['0.2', '-0.18']",,,"['-0.2', '-0.18']",,,,001,,,332893,1_dim_pl.PNG,,,,,,,"['0.35', '0.35']",,"baldan
",332893,1,1,,,,,,,,bal,,,,,,1,,,,,stems_all/1_dim_pl.PNG,,2022.2.5,,,2,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,familiar,,,,,,0,stems_all/1_2.PNG,return,,,,"['0.2', '0.22']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,1.1069999999999993,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/1_dim_sg.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/1.PNG
﻿,,"['0.2', '-0.18']",,,"['-0.2', '-0.18']",,,,001,,,332893,13_dim_pl.PNG,,,,,,,"['0.35', '0.35']",,"pilshoon
",332893,2,1,,,,,,,,pil,,,,,,2,,,,,stems_all/13_dim_pl.PNG,,2022.2.5,,,5,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,novel,,,,,,0,stems_all/13_2.PNG,return,,,,"['0.2', '0.22']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,2.5320000000000107,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/13_dim_sg.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/13.PNG
