training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿,,,,,,,,,001,1,bal,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,13,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,1,bal,"[0.9690000000000509,1.16800000000012,1.997000000000071,2.3050000000000637,2.4909999999999854,18.110000000000127]",stems_all/1.PNG,,,"[""b"",""a"",""backspace"",""a"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,14,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,1,nako,"[0.9839999999999236,1.08400000000006,1.1870000000001255,1.3840000000000146,1.9230000000000018]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,berko,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,15,,,,,2022.2.5,,1,,,,"['0.35', '0.35']",,,,1,berko,"[0.9949999999998909,1.2960000000000491,1.4649999999999181,1.5789999999999509,1.8019999999999072,2.196999999999889]",stems_all/2.PNG,,,"[""b"",""e"",""r"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,3,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,berko,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bani,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,16,,,,,2022.2.5,,5,,,,"['0.35', '0.35']",,,,1,bani,"[0.8519999999998618,1.1849999999999454,1.4529999999999745,2.0039999999999054,2.3479999999999563,2.5879999999999654,2.9610000000000127]",stems_all/6.PNG,,,"[""n"",""backspace"",""b"",""a"",""n"",""i"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,4,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bani,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kora,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,17,,,,,2022.2.5,,2,,,,"['0.35', '0.35']",,,,1,kora,"[1.5260000000000673,1.7200000000000273,1.81899999999996,2.050999999999931,2.183999999999969]",stems_all/3.PNG,,,"[""k"",""o"",""r"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,5,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kora,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kudom,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,18,,,,,2022.2.5,,7,,,,"['0.35', '0.35']",,,,1,kudom,"[1.1610000000000582,1.3610000000001037,1.6620000000000346,2.129000000000133,2.262000000000171,2.3960000000001855,2.5980000000001837,2.992000000000189]",stems_all/8.PNG,,,"[""k"",""u"",""b"",""backspace"",""d"",""o"",""m"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,6,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kudom,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,mero,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,19,,,,,2022.2.5,,11,,,,"['0.35', '0.35']",,,,1,mero,"[2.211999999999989,2.3259999999997945,2.4759999999998854,2.5419999999999163,5.011999999999944]",stems_all/12.PNG,,,"[""m"",""e"",""r"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,7,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,mero,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,pipa,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,20,,,,,2022.2.5,,4,,,,"['0.35', '0.35']",,,,1,pipa,"[0.9750000000001364,1.211999999999989,1.3840000000000146,1.525000000000091,1.8759999999999764]",stems_all/5.PNG,,,"[""p"",""i"",""p"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,8,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,pipa,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bin,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,21,,,,,2022.2.5,,10,,,,"['0.35', '0.35']",,,,1,bin,"[0.9300000000000637,1.122000000000071,1.2960000000000491,1.553000000000111]",stems_all/11.PNG,,,"[""b"",""i"",""n"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,9,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bin,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,vorke,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,22,,,,,2022.2.5,,9,,,,"['0.35', '0.35']",,,,1,vorke,"[1.22199999999998,1.5030000000001564,1.6000000000001364,1.7170000000000982,1.82100000000014,2.1259999999999764]",stems_all/10.PNG,,,"[""v"",""o"",""r"",""k"",""e"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,10,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,vorke,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,osto,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,23,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,1,osto,"[0.9900000000000091,1.5229999999999109,1.8029999999998836,1.9210000000000491,2.2329999999999472]",stems_all/9.PNG,,,"[""o"",""s"",""t"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,11,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,berko,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,24,,,,,2022.2.5,,1,,,,"['0.35', '0.35']",,,,2,berko,"[1.7709999999999582,2.522999999999911,2.7180000000000746,2.8740000000000236,3.3350000000000364,3.7999999999999545]",stems_all/2.PNG,,,"[""b"",""e"",""r"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,0,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,berko,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,chool,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,25,,,,,2022.2.5,,6,,,,"['0.35', '0.35']",,,,2,chool,"[1.0450000000000728,1.1010000000001128,1.3330000000000837,1.5060000000000855,1.683999999999969,1.91800000000012]",stems_all/7.PNG,,,"[""c"",""h"",""o"",""o"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,chool,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,mero,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,26,,,,,2022.2.5,,11,,,,"['0.35', '0.35']",,,,2,mero,"[1.0360000000000582,1.1359999999999673,1.3019999999999072,1.3730000000000473,1.6050000000000182]",stems_all/12.PNG,,,"[""m"",""e"",""r"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,mero,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,osto,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,27,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,2,osto,"[0.8250000000000455,0.9429999999999836,1.1769999999999072,1.2760000000000673,1.4890000000000327]",stems_all/9.PNG,,,"[""o"",""s"",""t"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,3,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kudom,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,28,,,,,2022.2.5,,7,,,,"['0.35', '0.35']",,,,2,kudom,"[1.0139999999998963,1.4539999999999509,1.6140000000000327,1.7899999999999636,1.981999999999971,2.252999999999929]",stems_all/8.PNG,,,"[""k"",""u"",""d"",""o"",""m"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,4,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kudom,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kora,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,29,,,,,2022.2.5,,2,,,,"['0.35', '0.35']",,,,2,kora,"[1.0750000000000455,2.1240000000000236,2.4760000000001128,2.6359999999999673,2.7409999999999854,2.9529999999999745,3.125]",stems_all/3.PNG,,,"[""p"",""backspace"",""k"",""o"",""r"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,5,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kora,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bani,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,30,,,,,2022.2.5,,5,,,,"['0.35', '0.35']",,,,2,bani,"[1.1339999999997872,1.4669999999998709,1.7199999999998,1.8419999999998709,1.9589999999998327,2.1909999999998035,2.6679999999998927]",stems_all/6.PNG,,,"[""c"",""backspace"",""b"",""a"",""n"",""i"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,6,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bani,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,31,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,2,nako,"[1.9480000000000928,2.117999999999938,2.22199999999998,2.461999999999989,2.8299999999999272]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,7,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bal,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,32,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,2,bal,"[1.252999999999929,1.384999999999991,1.67899999999986,1.893000000000029,2.2159999999998945,2.362999999999829,2.7359999999998763,3.2770000000000437]",stems_all/1.PNG,,,"[""b"",""a"",""n"",""i"",""backspace"",""backspace"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,8,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,pipa,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,33,,,,,2022.2.5,,4,,,,"['0.35', '0.35']",,,,2,pipa,"[1.219000000000051,1.4510000000000218,1.6440000000000055,1.8379999999999654,2.061000000000149,2.1970000000001164,2.4020000000000437]",stems_all/5.PNG,,,"[""n"",""backspace"",""p"",""i"",""p"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,9,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,pipa,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bin,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,34,,,,,2022.2.5,,10,,,,"['0.35', '0.35']",,,,2,bin,"[2.26299999999992,2.463999999999942,2.6959999999999127,2.961999999999989]",stems_all/11.PNG,,,"[""b"",""i"",""n"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,10,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bin,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,vorke,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,35,,,,,2022.2.5,,9,,,,"['0.35', '0.35']",,,,2,vorke,"[1.2849999999998545,1.3859999999999673,1.5419999999999163,1.6469999999999345,1.759000000000242,1.9849999999999]",stems_all/10.PNG,,,"[""v"",""o"",""r"",""k"",""e"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,11,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,vorke,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bal,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,36,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,3,bal,"[2.1679999999998927,2.2679999999998017,2.433999999999969,2.701000000000022]",stems_all/1.PNG,,,"[""b"",""a"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,0,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,mero,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,37,,,,,2022.2.5,,11,,,,"['0.35', '0.35']",,,,3,mero,"[0.9410000000000309,1.1980000000000928,1.413000000000011,1.5130000000001473,1.6440000000000055,1.780999999999949,2.030999999999949]",stems_all/12.PNG,,,"[""n"",""backspace"",""m"",""e"",""r"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,mero,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,berko,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,38,,,,,2022.2.5,,1,,,,"['0.35', '0.35']",,,,3,berko,"[1.6320000000000618,1.7339999999999236,1.9210000000000491,2.018000000000029,2.188999999999851,2.4320000000000164]",stems_all/2.PNG,,,"[""b"",""e"",""r"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,berko,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bani,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,39,,,,,2022.2.5,,5,,,,"['0.35', '0.35']",,,,3,bani,"[1.0860000000000127,1.1829999999999927,1.3320000000001073,1.5330000000001291,1.9790000000000418]",stems_all/6.PNG,,,"[""b"",""a"",""n"",""i"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,3,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bani,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bin,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,40,,,,,2022.2.5,,10,,,,"['0.35', '0.35']",,,,3,bin,"[0.8199999999999363,1.0419999999999163,1.237999999999829,1.5059999999998581]",stems_all/11.PNG,,,"[""b"",""i"",""n"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,4,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bin,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,chool,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,41,,,,,2022.2.5,,6,,,,"['0.35', '0.35']",,,,3,chool,"[0.90300000000002,1.3760000000002037,1.5650000000000546,1.734000000000151,1.9340000000001965,2.201000000000022]",stems_all/7.PNG,,,"[""c"",""h"",""o"",""o"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,5,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,chool,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kudom,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,42,,,,,2022.2.5,,7,,,,"['0.35', '0.35']",,,,3,kudom,"[1.711999999999989,2.099999999999909,2.4659999999998945,2.619999999999891,2.8460000000000036,3.370999999999867]",stems_all/8.PNG,,,"[""k"",""u"",""d"",""o"",""m"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,6,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kudom,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,pipa,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,43,,,,,2022.2.5,,4,,,,"['0.35', '0.35']",,,,3,pipa,"[1.1549999999999727,1.372000000000071,1.558999999999969,1.9770000000000891,2.285000000000082]",stems_all/5.PNG,,,"[""p"",""i"",""p"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,7,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,pipa,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kora,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,44,,,,,2022.2.5,,2,,,,"['0.35', '0.35']",,,,3,kora,"[0.9410000000000309,1.122000000000071,1.2339999999999236,1.525000000000091,1.6459999999999582]",stems_all/3.PNG,,,"[""k"",""o"",""r"",""a"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,8,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,kora,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,osto,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,45,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,3,osto,"[0.8360000000000127,0.9750000000001364,1.268000000000029,1.384999999999991,1.6159999999999854]",stems_all/9.PNG,,,"[""o"",""s"",""t"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,9,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,46,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,3,nako,"[2.0730000000000928,2.2339999999999236,2.3520000000003165,2.535000000000082,2.813000000000102]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,10,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,vorke,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,47,,,,,2022.2.5,,9,,,,"['0.35', '0.35']",,,,3,vorke,"[0.9989999999995689,1.1539999999995416,1.2729999999996835,1.3899999999996453,1.4879999999996016,1.6629999999997835]",stems_all/10.PNG,,,"[""v"",""o"",""r"",""k"",""e"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,11,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,vorke,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,osto,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,48,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,4,osto,"[0.9640000000001692,1.21100000000024,1.3780000000001564,1.4800000000002456,1.8269999999999982,1.9780000000000655,2.213000000000193]",stems_all/9.PNG,,,"[""s"",""backspace"",""o"",""s"",""t"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,0,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,49,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,4,nako,"[0.8300000000001546,0.9660000000001219,1.0850000000000364,1.2210000000000036,1.456000000000131]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""o"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bal,58680,,,,,,,,,,,720012,,,,,,,,,,,,,,,,,,50,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,4,bal,"[1.02800000000002,1.2930000000003474,1.4270000000001346,1.752999999999929]",stems_all/1.PNG,,,"[""b"",""a"",""l"",""return""]",,,,,66.66666666666667,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-04-08_10h47.53.654,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_10h48.14.570,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
