Term,Estimate,Est.Error,Q2.5,Q97.5,Prob,Lower,Upper,Model,Meaning,Frequency,Task,Condition
Intercept,0.7019728961248418,0.4157134240398937,-0.06362920827689703,1.5543535570878058,0.66862504340085,0.48409806271829364,0.825541631555776,original_meaning_freq_prod_model_cond1,original,freq,prod,cond1
Intercept,-1.2071986673521236,0.531838467551279,-2.2758202117205775,-0.17136128629229982,0.23019708976373546,0.09314541720822346,0.45726420423263636,novel_meaning_freq_prod_model_cond1,novel,freq,prod,cond1
Intercept,0.45507687361035926,0.36351453773306597,-0.22175523377858902,1.201990529075564,0.6118456259151638,0.44478726528396423,0.7688786982689436,original_meaning_infreq_prod_model_cond1,original,infreq,prod,cond1
Intercept,-1.5971997842004813,0.6314873077373988,-2.8638094448701383,-0.3761607459993173,0.16837334759145034,0.053971863595157196,0.4070532111558615,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
Intercept,1.2268760042026743,0.42949023071875353,0.3806516643707434,2.066064893553503,0.7732713342712505,0.5940302668366146,0.8875608497601324,original_meaning_freq_prod_model_cond2,original,freq,prod,cond2
Intercept,-4.314086502323335,0.852272374502761,-6.19554264922365,-2.835046411517847,0.01320213708227708,0.002034349695681462,0.05545945441016674,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
Intercept,0.23039009166170596,0.37621055290168887,-0.49021896014415994,1.0184120232474647,0.5573440969095086,0.37984198759917737,0.7346631654509659,original_meaning_infreq_prod_model_cond2,original,infreq,prod,cond2
Intercept,-3.36376925920526,0.8616179248375092,-5.144501148855186,-1.738396538566206,0.033447154481988726,0.005797574753734588,0.1495167184753732,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
Intercept,1.0410869229151427,0.486030454971374,0.10644630296467388,2.009227006653298,0.739059674141067,0.5265864766090964,0.8817624556721539,original_meaning_freq_prod_model_cond3,original,freq,prod,cond3
Intercept,-0.28418645718194685,0.47704873501808215,-1.3256249217829592,0.586582765762592,0.4294277105474808,0.2098839753233237,0.6425806899299257,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
Intercept,0.12037701347906703,0.3856660800665052,-0.6357027741481263,0.885010770895734,0.5300579655728556,0.3462185780895482,0.7078594987906985,original_meaning_infreq_prod_model_cond3,original,infreq,prod,cond3
Intercept,-2.433330169904968,0.7979818973398242,-4.099311274591199,-0.8798147727850967,0.0806661595867041,0.016313547953639873,0.2932161640065713,novel_meaning_infreq_prod_model_cond3,novel,infreq,prod,cond3
Intercept,-0.05176186367560702,0.08593427211224548,-0.22558989471123236,0.11877704327091075,0.4870624225795052,0.4438404914210007,0.5296593994812149,original_meaning_freq_2afc_model_cond1,original,freq,2afc,cond1
Intercept,-0.25657696362086096,0.11748381346509101,-0.4886212271931706,-0.024853344773936522,0.43620535175230374,0.3802184250402869,0.4937869836124155,novel_meaning_freq_2afc_model_cond1,novel,freq,2afc,cond1
Intercept,-0.0057330732465848775,0.12026839171865582,-0.24649079690958003,0.2376784749529744,0.49856673561407816,0.43868742121057347,0.5591414668507172,original_meaning_infreq_2afc_model_cond1,original,infreq,2afc,cond1
Intercept,0.2523291248106293,0.1192868328179108,0.009004685944849313,0.4827759824122393,0.5627496946174212,0.5022511562751008,0.6184031679781072,novel_meaning_infreq_2afc_model_cond1,novel,infreq,2afc,cond1
Intercept,-0.024440034514467666,0.08363254236026102,-0.1898988654383109,0.13618735487866293,0.4938902954866809,0.45266743879839066,0.5339943139211603,original_meaning_freq_2afc_model_cond2,original,freq,2afc,cond2
Intercept,0.03915744313860844,0.13342032244396848,-0.2285326222462422,0.3048225549391761,0.5097881101364731,0.4431142111281226,0.5756210050851392,novel_meaning_freq_2afc_model_cond2,novel,freq,2afc,cond2
Intercept,-0.0030262205753726797,0.1262348120620598,-0.2670700740215809,0.24982545881471188,0.49924344543353466,0.4336265285003043,0.562133539885138,original_meaning_infreq_2afc_model_cond2,original,infreq,2afc,cond2
Intercept,-0.03638297844688333,0.11687807574314692,-0.2660985109784188,0.19209955507762094,0.4909052586079187,0.43386515446988466,0.5478777462405844,novel_meaning_infreq_2afc_model_cond2,novel,infreq,2afc,cond2
Intercept,-0.013107107523114605,0.08226085243642198,-0.17660975437710236,0.15028387028726192,0.4967232700299187,0.455961967819532,0.5375004144649017,original_meaning_freq_2afc_model_cond3,original,freq,2afc,cond3
Intercept,0.045536818680003914,0.12064629146151686,-0.1907721931072448,0.2802319878716101,0.5113822378855055,0.4524510724170991,0.569603097938814,novel_meaning_freq_2afc_model_cond3,novel,freq,2afc,cond3
Intercept,0.011041487721456165,0.11119144934852263,-0.21694209976116532,0.2298847075632823,0.5027603438866035,0.44597618986587206,0.557219409151507,original_meaning_infreq_2afc_model_cond3,original,infreq,2afc,cond3
Intercept,-0.044453737167369924,0.11955568574294272,-0.27640228244968124,0.19454453560872856,0.488888395483543,0.4313360242433146,0.5484833156071326,novel_meaning_infreq_2afc_model_cond3,novel,infreq,2afc,cond3
Intercept,0.5999743704061381,0.47712350950187365,-0.26842093390516775,1.5976329360202697,0.6456504425567412,0.4332947944526308,0.8316872952445159,original_meaning_freq_comprehension_model_cond1,original,freq,comprehension,cond1
Intercept,-0.5933179547796528,0.4774353742392268,-1.6283712967592638,0.2536086518422642,0.3558739240665832,0.1640535994160603,0.5630645128870225,novel_meaning_freq_comprehension_model_cond1,novel,freq,comprehension,cond1
Intercept,0.005176881905810607,0.35226463749372,-0.696266870924725,0.6965116941096711,0.5012942175860232,0.3326404296439591,0.6674139166173835,original_meaning_infreq_comprehension_model_cond1,original,infreq,comprehension,cond1
Intercept,-0.005247787082544804,0.3557459226088788,-0.691298712718584,0.7267383783816199,0.49868805624019347,0.3337442304360965,0.6740891244929587,novel_meaning_infreq_comprehension_model_cond1,novel,infreq,comprehension,cond1
Intercept,4.385468518999639,1.1252376758513685,2.499220429362501,6.94515135181485,0.9876962184251123,0.9240871511063459,0.9990376325183361,original_meaning_freq_comprehension_model_cond2,original,freq,comprehension,cond2
Intercept,-5.138286409787573,1.2668724394374138,-8.089380968178324,-3.0802016200362607,0.005833506522029943,3.0668551984124515e-4,0.04393134629702897,novel_meaning_freq_comprehension_model_cond2,novel,freq,comprehension,cond2
Intercept,-1.0656285640557244,0.6040902507726356,-2.334799062519626,0.025785374116744548,0.2562352989253649,0.08828163240206621,0.506445986379561,original_meaning_infreq_comprehension_model_cond2,original,infreq,comprehension,cond2
Intercept,1.08950548277621,0.6115917643962798,-0.027923861810926008,2.3694395062466027,0.7482885893519411,0.49301948812459884,0.9144670305632493,novel_meaning_infreq_comprehension_model_cond2,novel,infreq,comprehension,cond2
Intercept,1.4839024553549536,0.8001358166045932,0.09500774696549334,3.212390206869223,0.8151613000683593,0.5237340865043708,0.9612978895259247,original_meaning_freq_comprehension_model_cond3,original,freq,comprehension,cond3
Intercept,-1.5295787732684014,0.8113131546274167,-3.2638020717588248,-0.11039645669007384,0.17805532464347285,0.036834084134263124,0.47242888177719017,novel_meaning_freq_comprehension_model_cond3,novel,freq,comprehension,cond3
Intercept,-0.2486722292263089,0.5798334174222175,-1.5486035958170414,0.7849398853463301,0.43815033569001943,0.17528804382498644,0.6867437945186976,original_meaning_infreq_comprehension_model_cond3,original,infreq,comprehension,cond3
Intercept,0.2525549526139377,0.580109327494109,-0.7901769176727029,1.5231590070524117,0.5628052615781588,0.312130683024588,0.8210031894937267,novel_meaning_infreq_comprehension_model_cond3,novel,infreq,comprehension,cond3
