participant,date,condition,pretraining,age,native_lang,other_langs,prod_stem,prod_suffix,prod_condition,prod_resp
332893,2024-03-04,6,0,NA,NA,NA,kora,dim_pl,familiar,"korashoon
"
332893,2024-03-04,6,0,NA,NA,NA,bal,dim_pl,familiar,"baldan
"
332893,2024-03-04,6,0,NA,NA,NA,pil,dim_pl,novel,"pilshoon
"
332893,2024-03-04,6,0,NA,NA,NA,berko,dim_pl,familiar,"berkoshoon
"
837048,2024-03-04,4,0,NA,NA,NA,kora,dim_pl,familiar,"oranem
"
837048,2024-03-04,4,0,NA,NA,NA,pil,dim_pl,novel,"pildan
"
837048,2024-03-04,4,0,NA,NA,NA,bal,dim_pl,familiar,"balnem
"
837048,2024-03-04,4,0,NA,NA,NA,berko,dim_pl,familiar,"berkoshoon
"
356830,2024-03-06,4,0,NA,NA,NA,berko,dim_pl,familiar,berkonem
356830,2024-03-06,4,0,NA,NA,NA,bal,dim_pl,familiar,balnem
356830,2024-03-06,4,0,NA,NA,NA,pil,dim_pl,novel,pilnemdanshoon
356830,2024-03-06,4,0,NA,NA,NA,kora,dim_pl,familiar,koranemdanshoonsil
117154,2024-03-13,4,1,NA,NA,NA,berko,dim_pl,familiar,berkonem
117154,2024-03-13,4,1,NA,NA,NA,bal,dim_pl,familiar,balnem
117154,2024-03-13,4,1,NA,NA,NA,kora,dim_pl,familiar,koranem
117154,2024-03-13,4,1,NA,NA,NA,pil,dim_pl,novel,pilnem
894692,2024-04-07,3,0,26,English,Korean,shinder,dim_pl,novel,shindernem
894692,2024-04-07,3,0,26,English,Korean,shinti,dim_pl,novel,shintinem
894692,2024-04-07,3,0,26,English,Korean,bal,dim_pl,familiar,balnem
894692,2024-04-07,3,0,26,English,Korean,kora,dim_pl,familiar,koranem
894692,2024-04-07,3,0,26,English,Korean,berko,dim_pl,familiar,berkonem
59008,2024-04-08,1,0,"18
","English
","Chinese (learned it from language immersion school and family members on my mothers side and use it often to communicate with mothers side of the family)
",berko,dim_pl,familiar,berkosil
59008,2024-04-08,1,0,"18
","English
","Chinese (learned it from language immersion school and family members on my mothers side and use it often to communicate with mothers side of the family)
",shinder,dim_pl,novel,"shinderdan
"
