SemAlpha,Beta,Alpha,meaning,prod_condition,condition,mean_freq_diff_v2,ci2.5,ci97.5,Estimate,mse,mean_mse
0.25,0.05,0.05,novel,familiar,1,-0.10745327099693931,-0.13727237962681715,-0.0813825568533276,-0.2634220184649738,0.024326250186747524,0.11539787466277397
0.25,0.05,0.05,novel,familiar,2,0.4827421093752812,0.4125632296664967,0.5180278767607087,-0.08796683396296474,0.32570869800625724,0.11539787466277397
0.25,0.05,0.05,novel,familiar,3,0.37911232386970334,0.33704969848041244,0.4143270508366955,0.6369812093805605,0.06649636211461155,0.11539787466277397
0.25,0.05,0.05,novel,novel,1,0.02782098878180099,0.005309001796382866,0.0474791307170964,0.526051790024354,0.24823393130679633,0.11539787466277397
0.25,0.05,0.05,novel,novel,2,0.3663196163999732,0.3156142926651085,0.39040020794808383,-0.13458529338789776,0.25090572864959515,0.11539787466277397
0.25,0.05,0.05,novel,novel,3,0.39508751940123094,0.35906903065795726,0.42235279252740443,0.7313157142996147,0.11304939904462556,0.11539787466277397
0.25,0.05,0.05,original,familiar,1,-0.09608583307330176,-0.13762054936722,-0.056579356486998696,-0.5203625786999247,0.18001075687951815,0.11539787466277397
0.25,0.05,0.05,original,familiar,2,0.6385210775687841,0.5378371035635854,0.6928448227430611,0.679412254294262,0.001672088333994268,0.11539787466277397
0.25,0.05,0.05,original,familiar,3,0.5469413021014997,0.4870933088129041,0.5991356508688049,0.37626505419761513,0.029130381598548267,0.11539787466277397
0.25,0.05,0.05,original,novel,1,0.03918842670543854,0.004708980540892424,0.07227567280110665,0.1159452075739264,0.005891603409293064,0.11539787466277397
0.25,0.05,0.05,original,novel,2,0.522098584593476,0.44140198924653706,0.5652198939406924,0.7263325631339383,0.041711517990466025,0.11539787466277397
0.25,0.05,0.05,original,novel,3,0.5629164976330273,0.509112640990449,0.6080313892978072,0.8753869417278802,0.0976377784328346,0.11539787466277397
