Alpha,Beta,SemAlpha,ConfAlpha,spearman,kendall,mean_mse
0.1,0.2,0.6000000000000001,0.6000000000000001,0.8041958041958044,0.6363636363636364,0.21997156917851396
0.1,0.30000000000000004,0.6000000000000001,0.7000000000000001,0.8041958041958044,0.6363636363636364,0.22562352278608885
0.1,0.30000000000000004,0.8,0.9,0.8041958041958044,0.6363636363636364,0.24355855843545254
0.1,0.4,0.8,0.8,0.8041958041958044,0.6363636363636364,0.26631909622033506
0.1,0.5,0.9,1,0.8041958041958044,0.6363636363636364,0.26979833561094796
0.1,0.2,1,1,0.7972027972027973,0.6060606060606061,0.24946719167983045
0.1,0.4,0.7000000000000001,1,0.7972027972027973,0.6060606060606061,0.25649065096126017
0.2,0.6000000000000001,0.2,0.7000000000000001,0.7972027972027973,0.5757575757575758,0.39390710362081194
0.1,0.2,1,0.8,0.7902097902097903,0.6060606060606061,0.28248185499205514
0.1,0.30000000000000004,0.7000000000000001,0.7000000000000001,0.7902097902097903,0.6060606060606061,0.22851718680309036
0.1,0.30000000000000004,0.8,0.8,0.7902097902097903,0.6060606060606061,0.26875592039098495
0.1,0.30000000000000004,1,1,0.7902097902097903,0.6060606060606061,0.25877797441080136
0.1,0.4,0.5,0.6000000000000001,0.7902097902097903,0.6060606060606061,0.22717486828586508
0.1,0.4,0.6000000000000001,0.7000000000000001,0.7902097902097903,0.6060606060606061,0.271337645290836
0.1,0.4,0.7000000000000001,0.7000000000000001,0.7902097902097903,0.6060606060606061,0.294827473616223
0.1,0.4,0.7000000000000001,0.8,0.7902097902097903,0.6060606060606061,0.2911370928415731
0.1,0.4,0.8,0.9,0.7902097902097903,0.6060606060606061,0.2740356812850728
0.1,0.8,0.4,0.8,0.7902097902097903,0.6060606060606061,0.28040657399389424
0.1,1,0.4,1,0.7902097902097903,0.6060606060606061,0.37389735950069813
0.2,0.2,0.7000000000000001,0.9,0.7902097902097903,0.6060606060606061,0.23028893123450625
0.2,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.7902097902097903,0.6060606060606061,0.22830921687692055
0.2,0.30000000000000004,0.5,1,0.7902097902097903,0.6060606060606061,0.22459013357610116
0.1,0.4,0.4,0.5,0.7832167832167833,0.6060606060606061,0.21265865428220668
0.1,0.5,1,1,0.7832167832167833,0.6060606060606061,0.35759074610257446
0.1,0.2,0.9,0.9,0.7832167832167833,0.5757575757575758,0.2670406767119573
0.1,0.30000000000000004,0.5,0.6000000000000001,0.7832167832167833,0.5757575757575758,0.22276312749075816
0.1,0.30000000000000004,0.5,0.7000000000000001,0.7832167832167833,0.5757575757575758,0.20636069545973387
0.1,0.30000000000000004,0.6000000000000001,0.8,0.7832167832167833,0.5757575757575758,0.23165727427693267
0.1,0.30000000000000004,0.7000000000000001,0.8,0.7832167832167833,0.5757575757575758,0.2371874812869804
0.1,0.30000000000000004,0.7000000000000001,0.9,0.7832167832167833,0.5757575757575758,0.23014555858724026
0.1,0.30000000000000004,0.8,1,0.7832167832167833,0.5757575757575758,0.2305904627842629
0.1,0.30000000000000004,0.9,0.9,0.7832167832167833,0.5757575757575758,0.2990937006436465
0.1,0.30000000000000004,0.9,1,0.7832167832167833,0.5757575757575758,0.24778991905845107
0.1,0.4,0.5,0.8,0.7832167832167833,0.5757575757575758,0.2193229375584171
0.1,0.4,0.6000000000000001,0.8,0.7832167832167833,0.5757575757575758,0.27134087707710464
0.1,0.4,0.6000000000000001,0.9,0.7832167832167833,0.5757575757575758,0.26632241224583125
0.1,0.4,0.7000000000000001,0.9,0.7832167832167833,0.5757575757575758,0.2605727862765552
0.1,0.4,0.9,1,0.7832167832167833,0.5757575757575758,0.29099769999557
0.1,0.6000000000000001,0.4,0.9,0.7832167832167833,0.5757575757575758,0.22336073130753428
0.1,0.7000000000000001,0.2,0.6000000000000001,0.7832167832167833,0.5757575757575758,0.2443533907602034
0.1,0.7000000000000001,0.30000000000000004,0.8,0.7832167832167833,0.5757575757575758,0.2670472385763357
0.1,0.7000000000000001,0.30000000000000004,0.9,0.7832167832167833,0.5757575757575758,0.24958561539316865
0.1,0.8,0.30000000000000004,1,0.7832167832167833,0.5757575757575758,0.287204745473766
0.1,1,0.2,0.7000000000000001,0.7832167832167833,0.5757575757575758,0.3405683861624502
0.1,1,0.30000000000000004,0.8,0.7832167832167833,0.5757575757575758,0.34048889180700503
0.2,0.30000000000000004,0.4,1,0.7832167832167833,0.5757575757575758,0.2195723927785056
0.2,0.5,0.6000000000000001,1,0.7832167832167833,0.5757575757575758,0.33966889416074886
0.1,0.2,0.7000000000000001,0.7000000000000001,0.7762237762237764,0.6060606060606061,0.23189651628892588
0.1,0.2,0.8,0.7000000000000001,0.7762237762237764,0.6060606060606061,0.2684812702255298
0.2,1,0.6000000000000001,1,0.7762237762237764,0.6060606060606061,0.7595686293958981
0.1,0.4,0.4,0.7000000000000001,0.7762237762237764,0.5757575757575758,0.19715961441015484
0.1,0.4,0.5,0.9,0.7762237762237764,0.5757575757575758,0.231926829891123
0.1,0.5,0.2,0.4,0.7762237762237764,0.5757575757575758,0.21273953735295023
0.1,0.5,0.6000000000000001,1,0.7762237762237764,0.5757575757575758,0.2755315748043789
0.1,0.6000000000000001,0.7000000000000001,1,0.7762237762237764,0.5757575757575758,0.27090885375296686
0.1,0.7000000000000001,0.2,0.4,0.7762237762237764,0.5757575757575758,0.26184703843892276
0.1,0.7000000000000001,0.5,0.6000000000000001,0.7762237762237764,0.5757575757575758,0.2805724381222442
0.1,0.9,0.30000000000000004,0.6000000000000001,0.7762237762237764,0.5757575757575758,0.34598545922174934
0.1,0.9,0.5,0.7000000000000001,0.7762237762237764,0.5757575757575758,0.3628134068336266
0.1,0.9,0.5,0.9,0.7762237762237764,0.5757575757575758,0.31596359554565706
0.1,1,0.30000000000000004,0.7000000000000001,0.7762237762237764,0.5757575757575758,0.30727618893171466
0.2,0.30000000000000004,0.4,0.8,0.7762237762237764,0.5757575757575758,0.24856445580929892
0.2,0.30000000000000004,0.6000000000000001,0.9,0.7762237762237764,0.5757575757575758,0.2602604867983847
0.2,0.4,0.4,0.8,0.7762237762237764,0.5757575757575758,0.31828083624392917
0.2,0.4,0.5,0.9,0.7762237762237764,0.5757575757575758,0.2672898069970284
0.2,0.4,0.5,1,0.7762237762237764,0.5757575757575758,0.28309831392819595
0.2,0.5,0.30000000000000004,0.8,0.7762237762237764,0.5757575757575758,0.3245675574336691
0.2,0.6000000000000001,0.30000000000000004,0.7000000000000001,0.7762237762237764,0.5757575757575758,0.37590734862027597
0.2,0.6000000000000001,0.4,0.8,0.7762237762237764,0.5757575757575758,0.38467710395230753
0.2,0.8,0.4,1,0.7762237762237764,0.5757575757575758,0.5469036243508593
0.1,0.30000000000000004,0.9,0.8,0.7692307692307694,0.5757575757575758,0.2689227547101574
0.1,0.30000000000000004,1,0.9,0.7692307692307694,0.5757575757575758,0.25527039181760885
0.1,0.4,0.9,0.8,0.7692307692307694,0.5757575757575758,0.34151751842027017
