participant,date,condition,age,native_lang,other_langs,prod_stem,prod_suffix,prod_condition,prod_resp
21648,3/3/2025,1,,,,bal,dim_pl,familiar,bal
21648,3/3/2025,1,,,,kora,dim_pl,familiar,kora
21648,3/3/2025,1,,,,shinti,dim_pl,novel,
21648,3/3/2025,1,,,,mero,dim_pl,novel,mero
21648,3/3/2025,1,,,,berko,dim_pl,familiar,pil
21648,3/3/2025,1,,,,pil,dim_pl,novel,shinti
21648,3/3/2025,1,,,,bal,dim_pl,familiar,bal
21648,3/3/2025,1,,,,berko,dim_pl,familiar,berko
21648,3/3/2025,1,,,,kora,dim_pl,familiar,kora
21648,3/3/2025,1,,,,mero,dim_pl,novel,mero
21648,3/3/2025,1,,,,shinti,dim_pl,novel,shinti
21648,3/3/2025,1,,,,pil,dim_pl,novel,pil
21648,3/3/2025,1,,,,pil,dim_pl,novel,pil
21648,3/3/2025,1,,,,bal,dim_pl,familiar,bal
21648,3/3/2025,1,,,,kora,dim_pl,familiar,kora
21648,3/3/2025,1,,,,mero,dim_pl,novel,mero
21648,3/3/2025,1,,,,berko,dim_pl,familiar,berkoes
21648,3/3/2025,1,,,,shinti,dim_pl,novel,shinties
21648,3/3/2025,1,,,,pil,dim_pl,novel,pil
21648,3/3/2025,1,,,,berko,dim_pl,familiar,berko
21648,3/3/2025,1,,,,bal,dim_pl,familiar,bal
21648,3/3/2025,1,,,,mero,dim_pl,novel,mero
21648,3/3/2025,1,,,,shinti,dim_pl,novel,pil
21648,3/3/2025,1,,,,kora,dim_pl,familiar,kora
24300,3/3/2025,4,,,,kora,dim_pl,familiar,korasil
24300,3/3/2025,4,,,,shinti,dim_pl,novel,shintisil
24300,3/3/2025,4,,,,berko,dim_pl,familiar,berkosil
24300,3/3/2025,4,,,,pil,dim_pl,novel,pilsil
24300,3/3/2025,4,,,,bal,dim_pl,familiar,balsil
24300,3/3/2025,4,,,,mero,dim_pl,novel,merosil
516480,3/3/2025,1,,,,mero,dim_pl,novel,merodan
516480,3/3/2025,1,,,,berko,dim_pl,familiar,berko
516480,3/3/2025,1,,,,pil,dim_pl,novel,pildan
516480,3/3/2025,1,,,,bal,dim_pl,familiar,balnem
516480,3/3/2025,1,,,,shinti,dim_pl,novel,shintidan
516480,3/3/2025,1,,,,kora,dim_pl,familiar,koradan
516480,3/3/2025,1,,,,bal,dim_pl,familiar,balnem
516480,3/3/2025,1,,,,kora,dim_pl,familiar,kora
516480,3/3/2025,1,,,,shinti,dim_pl,novel,shintidan
516480,3/3/2025,1,,,,pil,dim_pl,novel,pildan
516480,3/3/2025,1,,,,berko,dim_pl,familiar,berkodan
516480,3/3/2025,1,,,,mero,dim_pl,novel,merodan
516480,3/3/2025,1,,,,bal,dim_pl,familiar,balnem
516480,3/3/2025,1,,,,kora,dim_pl,familiar,kora
516480,3/3/2025,1,,,,mero,dim_pl,novel,merodan
516480,3/3/2025,1,,,,pil,dim_pl,novel,pildan
516480,3/3/2025,1,,,,shinti,dim_pl,novel,shintidan
516480,3/3/2025,1,,,,berko,dim_pl,familiar,berkodan
516480,3/3/2025,1,,,,bal,dim_pl,familiar,balnem
516480,3/3/2025,1,,,,kora,dim_pl,familiar,kora
516480,3/3/2025,1,,,,mero,dim_pl,novel,merodan
516480,3/3/2025,1,,,,berko,dim_pl,familiar,berkodan
516480,3/3/2025,1,,,,shinti,dim_pl,novel,shintidan
516480,3/3/2025,1,,,,pil,dim_pl,novel,pildan
795819,3/3/2025,4,,,,bal,dim_pl,familiar,balshoon
795819,3/3/2025,4,,,,shinti,dim_pl,novel,shinisil
795819,3/3/2025,4,,,,mero,dim_pl,novel,meroshoon
795819,3/3/2025,4,,,,pil,dim_pl,novel,pilshoon
795819,3/3/2025,4,,,,berko,dim_pl,familiar,berkoshoon
795819,3/3/2025,4,,,,kora,dim_pl,familiar,korashoon
795819,3/3/2025,4,,,,pil,dim_pl,novel,pilshoon
