source,participant,subj_values,Model,Meaning,Frequency,Task,Condition
novel_meaning_freq_prod_data_cond2_subj_means_no_sil_shoon,844618,0.9166666666666666,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
novel_meaning_freq_prod_data_cond2_subj_means_no_sil_shoon,877238,0,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
novel_meaning_freq_prod_data_cond2_subj_means_no_sil_shoon,886890,0,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
novel_meaning_freq_prod_data_cond2_subj_means_no_sil_shoon,893780,1,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
novel_meaning_freq_prod_data_cond2_subj_means_no_sil_shoon,983513,1,novel_meaning_freq_prod_model_cond2,novel,freq,prod,cond2
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,23855,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,75565,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,100111,0.3,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,103482,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,150932,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,195051,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,204573,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,295781,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,303429,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,384294,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,385370,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
