Stem,Meaning,Frequent,Infrequent,freq_to_infreq,Condition,label,freq,infreq,freq_probs,alpha,beta,beta2
Familiar,Novel,-0.12921564202156188,-0.28796823810416816,0.15875259608260628,Type Frequency,Familiar Novel,0.46774096191784686,0.4285013486201112,0.5218911854731466,0.8,0.2,0.2
Familiar,Original,1.7600469871334232,1.5283449432045288,0.23170204392889437,Type Frequency,Familiar Original,0.8532155449074935,0.8217640305867545,0.5093886262199521,0.8,0.2,0.2
Novel,Novel,0.4914981282838356,-0.07561488626664911,0.5671130145504847,Type Frequency,Novel Novel,0.620459289524661,0.4811052802970277,0.5632527647699266,0.8,0.2,0.2
Novel,Original,2.3807607574388205,2.242906762288201,0.13785399515061947,Type Frequency,Novel Original,0.9153484007258578,0.9040369283444827,0.5031085972280416,0.8,0.2,0.2
Familiar,Novel,-0.5613372231260638,-1.34642803021551,0.7850908070894462,Token Frequency,Familiar Novel,0.3632381085824084,0.20645495870467231,0.637603175183743,0.8,0.2,0.2
Familiar,Original,0.9522647460218707,-0.25131208712648445,1.2035768331483552,Token Frequency,Familiar Original,0.7215704085823326,0.43750057614355525,0.622542034173152,0.8,0.2,0.2
Novel,Novel,0.05390493496261957,-0.3965585810468242,0.45046351600944373,Token Frequency,Novel Novel,0.5134729714836992,0.40213945786575195,0.5607972926367166,0.8,0.2,0.2
Novel,Original,1.8627119371507754,1.200629134790506,0.6620828023602694,Token Frequency,Novel Original,0.8656127333672059,0.7686366841726675,0.5296699047751603,0.8,0.2,0.2
Familiar,Novel,0.06741925797198478,-0.880101575707353,0.9475208336793378,Type-Token Frequency,Familiar Novel,0.5168484331320358,0.29315673036647755,0.6380804177836386,0.8,0.2,0.2
Familiar,Original,1.9282356742487199,0.018832263783702174,1.9094034104650177,Type-Token Frequency,Familiar Original,0.8730540070752533,0.5047079268062628,0.6336755179580492,0.8,0.2,0.2
Novel,Novel,0.5411124160944139,-0.6919691195269129,1.2330815356213267,Type-Token Frequency,Novel Novel,0.6320711561057343,0.33359517605484235,0.6545440542506454,0.8,0.2,0.2
Novel,Original,2.605890952991004,0.7993853826537725,1.8065055703372315,Type-Token Frequency,Novel Original,0.9312397504105779,0.6898429931689981,0.5744554089535684,0.8,0.2,0.2
