meaning,prod_condition,condition,mean_freq_diff_v2,ci2.5,ci97.5
novel,familiar,1,-0.1687493712940231,-0.2188774950990157,-0.12090752836431115
novel,familiar,2,0.7035170148708495,0.6443234794192887,0.7565850416794516
novel,familiar,3,0.5337931549109682,0.46591775116729806,0.5931234707297902
novel,novel,1,0.05345394994197228,0.017587527425776902,0.0892117260543508
novel,novel,2,0.5379279622263344,0.4966383987537857,0.5767653408641186
novel,novel,3,0.588134451148795,0.5347317320627935,0.6319616082596728
original,familiar,1,-0.14336647380327272,-0.2154890839010853,-0.07909735785979341
original,familiar,2,0.9171595373587921,0.8199765052094946,0.9963169785476482
original,familiar,3,0.7718256506998603,0.6752424025633759,0.857029659497388
original,novel,1,0.07883684743272262,0.019674284523299376,0.13124896095504882
original,novel,2,0.751570484714277,0.6735216570438471,0.8147574506946447
original,novel,3,0.8261669469376871,0.7442658417271908,0.8929022351143285
