Stem,Meaning,Frequent,Infrequent,freq_to_infreq,Condition,label,freq,infreq,freq_probs,alpha,beta,beta2
Familiar,Novel,0.3231417372384636,0.2964282762452828,0.026713460993180838,Type Frequency,Familiar Novel,0.3231417372384636,0.2964282762452828,0.5215580647964022,0.3,0.2,0.1
Familiar,Original,0.7281439195412193,0.7238012074553785,0.004342712085840805,Type Frequency,Familiar Original,0.7281439195412193,0.7238012074553785,0.5014954807881837,0.3,0.2,0.1
Novel,Novel,0.3285092188811184,0.25741504511118557,0.07109417376993282,Type Frequency,Novel Novel,0.3285092188811184,0.25741504511118557,0.5606683987496264,0.3,0.2,0.1
Novel,Original,0.733511401183874,0.6847879763212812,0.048723424862592846,Type Frequency,Novel Original,0.733511401183874,0.6847879763212812,0.5171767067078247,0.3,0.2,0.1
Familiar,Novel,0.3608158754099847,0.24883796940615968,0.11197790600382504,Token Frequency,Familiar Novel,0.3608158754099847,0.24883796940615968,0.5918372835306195,0.3,0.2,0.1
Familiar,Original,0.7390388643444689,0.5743371853073485,0.1647016790371204,Token Frequency,Familiar Original,0.7390388643444689,0.5743371853073485,0.5627016455343402,0.3,0.2,0.1
Novel,Novel,0.20755826666825006,0.148335662730437,0.05922260393781306,Token Frequency,Novel Novel,0.20755826666825006,0.148335662730437,0.5832026048293022,0.3,0.2,0.1
Novel,Original,0.5857812556027342,0.4738348786316257,0.11194637697110849,Token Frequency,Novel Original,0.5857812556027342,0.4738348786316257,0.5528240243585932,0.3,0.2,0.1
Familiar,Novel,0.3400095465910501,0.24403751645946004,0.09597203013159006,Type-Token Frequency,Familiar Novel,0.3400095465910501,0.24403751645946004,0.5821612128569937,0.3,0.2,0.1
Familiar,Original,0.7666985207579986,0.5041476959428397,0.2625508248151589,Type-Token Frequency,Familiar Original,0.7666985207579986,0.5041476959428397,0.6032976379694273,0.3,0.2,0.1
Novel,Novel,0.371919019553872,0.21539023188397116,0.15652878766990086,Type-Token Frequency,Novel Novel,0.371919019553872,0.21539023188397116,0.6332592559087815,0.3,0.2,0.1
Novel,Original,0.7986079937208206,0.4755004113673509,0.3231075823534697,Type-Token Frequency,Novel Original,0.7986079937208206,0.4755004113673509,0.6267975240815988,0.3,0.2,0.1
