Term,Estimate,Est.Error,Q2.5,Q97.5,Prob,Lower,Upper,Model,Meaning,Frequency,Task,Condition
Intercept,-0.014270580666902628,0.31105203034782725,-0.6349499942898134,0.596955409606238,0.496432415377796,0.3463889904892242,0.6449594434299392,original_meaning_freq_prod_model_cond1_no_sil_shoon,original,freq,prod,cond1
Intercept,0.18011002789410685,0.4527653528243548,-0.6634547141025218,1.1455163014179381,0.5449061776035169,0.33996398546716883,0.758690998433803,novel_meaning_freq_prod_model_cond1_no_sil_shoon,novel,freq,prod,cond1
Intercept,0.03327449104666346,0.30872173572791395,-0.5886090380552568,0.6199738478684076,0.5083178553207587,0.3569540691699525,0.6502126006564259,original_meaning_infreq_prod_model_cond1_no_sil_shoon,original,infreq,prod,cond1
Intercept,-0.17798426266420256,0.443885302873614,-1.1218444542357604,0.6604100360825617,0.4556210270890753,0.24566931652776045,0.6593524913537464,novel_meaning_infreq_prod_model_cond1_no_sil_shoon,novel,infreq,prod,cond1
Intercept,0.8172433393064805,0.35962847343898274,0.14357666053490395,1.541004319784373,0.6936508644376816,0.5358326310152105,0.823610676335702,original_meaning_freq_prod_model_cond2_no_sil_shoon,original,freq,prod,cond2
Intercept,-0.542955043413942,1.3392133647333282,-3.2899985951753408,2.0615512287658584,0.36750043200491456,0.03591589452610863,0.8871096128245594,novel_meaning_freq_prod_model_cond2_no_sil_shoon,novel,freq,prod,cond2
Intercept,-0.8131772744376132,0.35895668790302554,-1.5389130655146581,-0.12516547908699613,0.307213851357588,0.17669333862378447,0.4687494182481748,original_meaning_infreq_prod_model_cond2_no_sil_shoon,original,infreq,prod,cond2
Intercept,0.15436554115206802,0.585060220580849,-0.931184822158724,1.4117315801946189,0.5385149355090713,0.28268440161299313,0.8040389156373292,novel_meaning_infreq_prod_model_cond2_no_sil_shoon,novel,infreq,prod,cond2
Intercept,0.6204480389997289,0.5739542194908457,-0.37243342356206305,1.8858203431880813,0.6503204411899187,0.4079531517691081,0.8682782338232327,original_meaning_freq_prod_model_cond3_no_sil_shoon,original,freq,prod,cond3
Intercept,-0.27921818344738614,0.4802721687974571,-1.312284502237943,0.6071022456550295,0.43064545921708713,0.2121048153249701,0.6472795021056122,novel_meaning_freq_prod_model_cond3_no_sil_shoon,novel,freq,prod,cond3
Intercept,-0.6092378150517269,0.5791643624042404,-1.9379104452192066,0.37063557285324633,0.3522330822085607,0.1258775956162976,0.5916125463095205,original_meaning_infreq_prod_model_cond3_no_sil_shoon,original,infreq,prod,cond3
Intercept,-0.633150424142533,0.7245407434461251,-2.3505581592612548,0.5132181298664962,0.34679653230130164,0.08702141719499323,0.6255605757023089,novel_meaning_infreq_prod_model_cond3_no_sil_shoon,novel,infreq,prod,cond3
Intercept,-0.05176186367560702,0.08593427211224548,-0.22558989471123236,0.11877704327091075,0.4870624225795052,0.4438404914210007,0.5296593994812149,original_meaning_freq_2afc_model_cond1,original,freq,2afc,cond1
Intercept,-0.25657696362086096,0.11748381346509101,-0.4886212271931706,-0.024853344773936522,0.43620535175230374,0.3802184250402869,0.4937869836124155,novel_meaning_freq_2afc_model_cond1,novel,freq,2afc,cond1
Intercept,-0.0057330732465848775,0.12026839171865582,-0.24649079690958003,0.2376784749529744,0.49856673561407816,0.43868742121057347,0.5591414668507172,original_meaning_infreq_2afc_model_cond1,original,infreq,2afc,cond1
Intercept,0.2523291248106293,0.1192868328179108,0.009004685944849313,0.4827759824122393,0.5627496946174212,0.5022511562751008,0.6184031679781072,novel_meaning_infreq_2afc_model_cond1,novel,infreq,2afc,cond1
Intercept,-0.024440034514467666,0.08363254236026102,-0.1898988654383109,0.13618735487866293,0.4938902954866809,0.45266743879839066,0.5339943139211603,original_meaning_freq_2afc_model_cond2,original,freq,2afc,cond2
Intercept,0.03915744313860844,0.13342032244396848,-0.2285326222462422,0.3048225549391761,0.5097881101364731,0.4431142111281226,0.5756210050851392,novel_meaning_freq_2afc_model_cond2,novel,freq,2afc,cond2
Intercept,-0.0030262205753726797,0.1262348120620598,-0.2670700740215809,0.24982545881471188,0.49924344543353466,0.4336265285003043,0.562133539885138,original_meaning_infreq_2afc_model_cond2,original,infreq,2afc,cond2
Intercept,-0.03638297844688333,0.11687807574314692,-0.2660985109784188,0.19209955507762094,0.4909052586079187,0.43386515446988466,0.5478777462405844,novel_meaning_infreq_2afc_model_cond2,novel,infreq,2afc,cond2
Intercept,-0.013107107523114605,0.08226085243642198,-0.17660975437710236,0.15028387028726192,0.4967232700299187,0.455961967819532,0.5375004144649017,original_meaning_freq_2afc_model_cond3,original,freq,2afc,cond3
Intercept,0.045536818680003914,0.12064629146151686,-0.1907721931072448,0.2802319878716101,0.5113822378855055,0.4524510724170991,0.569603097938814,novel_meaning_freq_2afc_model_cond3,novel,freq,2afc,cond3
Intercept,0.011041487721456165,0.11119144934852263,-0.21694209976116532,0.2298847075632823,0.5027603438866035,0.44597618986587206,0.557219409151507,original_meaning_infreq_2afc_model_cond3,original,infreq,2afc,cond3
Intercept,-0.044453737167369924,0.11955568574294272,-0.27640228244968124,0.19454453560872856,0.488888395483543,0.4313360242433146,0.5484833156071326,novel_meaning_infreq_2afc_model_cond3,novel,infreq,2afc,cond3
Intercept,0.5887479122744574,0.4775781396442357,-0.2567716217136862,1.639851864111455,0.6430778070880787,0.4361574800348906,0.8375147795364776,original_meaning_freq_comprehension_model_cond1,original,freq,comprehension,cond1
