Term,Estimate,Est.Error,Q2.5,Q97.5,Prob,Lower,Upper,Model,Meaning,Frequency,Task,Condition
Intercept,-0.600334025777302,0.47734974164055155,-1.6323085698235702,0.24162511933341665,0.3542672776590324,0.16351435568643746,0.5601140954320347,novel_meaning_freq_comprehension_model_cond1,novel,freq,comprehension,cond1
Intercept,1.7702746751028209,0.7101543199534345,0.4245187916713519,3.2278419851638684,0.8544918262671523,0.6045640497811646,0.9618686815688212,original_meaning_infreq_comprehension_model_cond1,original,infreq,comprehension,cond1
Intercept,-1.7511782847974486,0.7273524307097681,-3.221181437189241,-0.3350263509399168,0.14789864350598156,0.03837636240970797,0.4170181395021003,novel_meaning_infreq_comprehension_model_cond1,novel,infreq,comprehension,cond1
Intercept,4.357170826530915,1.128299555937652,2.4760357429904527,6.893466499169515,0.9873475449247301,0.9224446674464901,0.9989866365946848,original_meaning_freq_comprehension_model_cond2,original,freq,comprehension,cond2
Intercept,-5.162790126367538,1.2861516523991385,-8.099623477975413,-3.0596631382097086,0.005693104924257624,3.035612713416176e-4,0.044802116801757934,novel_meaning_freq_comprehension_model_cond2,novel,freq,comprehension,cond2
Intercept,0.8912503696375099,0.5880430024958001,-0.10176693332329466,2.1872145286245517,0.7091481375546166,0.4745802012473116,0.8990954814588854,original_meaning_infreq_comprehension_model_cond2,original,infreq,comprehension,cond2
Intercept,-0.8782356673043048,0.5788393510397952,-2.1623150785316576,0.10455566682306333,0.29354352535580236,0.10318602028778313,0.5261151304003588,novel_meaning_infreq_comprehension_model_cond2,novel,infreq,comprehension,cond2
Intercept,1.4850486949567259,0.8023528998108543,0.11236673553120076,3.2244816049816016,0.815333945447614,0.5280621633592073,0.9617452403549267,original_meaning_freq_comprehension_model_cond3,original,freq,comprehension,cond3
Intercept,-1.4779967748291174,0.806335431721751,-3.20415658485294,-0.09960037500898014,0.18573018530862007,0.03900960242877685,0.4751204704123721,novel_meaning_freq_comprehension_model_cond3,novel,freq,comprehension,cond3
Intercept,0.6064345809542705,0.9969514621815739,-0.7598981463667356,3.162117561768609,0.6471270534284029,0.3186683801456018,0.959383541269184,original_meaning_infreq_comprehension_model_cond3,original,infreq,comprehension,cond3
Intercept,-0.6258656888697055,1.0252547506935132,-3.2375507930266343,0.7551113665689525,0.34844857034001936,0.03777681780312311,0.6802914188573581,novel_meaning_infreq_comprehension_model_cond3,novel,infreq,comprehension,cond3
